"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.092,2.092,185.019,208.909,204.542
0.001,0.140,2.130,2.130,184.892,208.856,204.570
0.003,0.279,2.167,2.167,184.766,208.804,204.598
0.004,0.417,2.203,2.203,184.641,208.753,204.625
0.005,0.552,2.237,2.237,184.519,208.702,204.652
0.007,0.684,2.270,2.270,184.399,208.653,204.679
0.008,0.812,2.299,2.299,184.284,208.604,204.706
0.009,0.936,2.326,2.326,184.172,208.557,204.732
0.011,1.054,2.348,2.348,184.066,208.513,204.757
0.012,1.165,2.368,2.368,183.966,208.470,204.781
0.014,1.270,2.385,2.385,183.873,208.429,204.804
0.015,1.366,2.401,2.401,183.787,208.392,204.826
0.016,1.454,2.417,2.417,183.708,208.357,204.847
0.018,1.534,2.436,2.436,183.637,208.325,204.866
0.019,1.607,2.456,2.456,183.572,208.298,204.882
0.020,1.672,2.481,2.481,183.513,208.274,204.894
0.022,1.730,2.511,2.511,183.458,208.255,204.902
0.023,1.783,2.544,2.544,183.407,208.241,204.904
0.024,1.833,2.579,2.579,183.359,208.233,204.899
0.026,1.880,2.616,2.616,183.312,208.230,204.888
0.027,1.930,2.651,2.651,183.267,208.233,204.868
0.028,1.984,2.684,2.684,183.223,208.243,204.839
0.030,2.046,2.713,2.713,183.178,208.260,204.800
0.031,2.118,2.737,2.737,183.131,208.285,204.751
0.032,2.201,2.757,2.757,183.083,208.316,204.691
0.034,2.296,2.774,2.774,183.032,208.355,204.621
0.035,2.403,2.792,2.792,182.979,208.401,204.540
0.036,2.524,2.811,2.811,182.921,208.455,204.448
0.038,2.658,2.836,2.836,182.860,208.515,204.346
0.039,2.805,2.867,2.867,182.794,208.583,204.233
0.041,2.966,2.908,2.908,182.724,208.658,204.109
0.042,3.141,2.960,2.960,182.647,208.739,203.975
0.043,3.330,3.022,3.022,182.564,208.828,203.830
0.045,3.534,3.095,3.095,182.474,208.924,203.674
0.046,3.751,3.177,3.177,182.379,209.026,203.508
0.047,3.978,3.268,3.268,182.279,209.134,203.334
0.049,4.211,3.368,3.368,182.179,209.245,203.155
0.050,4.448,3.475,3.475,182.081,209.359,202.973
0.051,4.684,3.590,3.590,181.988,209.474,202.789
0.053,4.916,3.710,3.710,181.901,209.590,202.607
0.054,5.142,3.832,3.832,181.825,209.704,202.428
0.055,5.357,3.953,3.953,181.761,209.815,202.254
0.057,5.561,4.070,4.070,181.713,209.922,202.089
0.058,5.749,4.181,4.181,181.683,210.025,201.933
0.059,5.922,4.281,4.281,181.673,210.121,201.790
0.061,6.080,4.368,4.368,181.684,210.210,201.660
0.062,6.228,4.441,4.441,181.714,210.293,201.542
0.064,6.368,4.499,4.499,181.758,210.373,201.435
0.065,6.503,4.545,4.545,181.814,210.449,201.338
0.066,6.635,4.581,4.581,181.879,210.522,201.251
0.068,6.764,4.607,4.607,181.951,210.595,201.172
0.069,6.890,4.625,4.625,182.027,210.668,201.101
0.070,7.014,4.637,4.637,182.102,210.742,201.037
0.072,7.135,4.645,4.645,182.176,210.818,200.978
0.073,7.253,4.649,4.649,182.244,210.898,200.924
0.074,7.368,4.652,4.652,182.304,210.982,200.875
0.076,7.480,4.654,4.654,182.356,211.070,200.828
0.077,7.590,4.658,4.658,182.399,211.162,200.786
0.078,7.698,4.664,4.664,182.435,211.256,200.746
0.080,7.805,4.674,4.674,182.465,211.352,200.710
0.081,7.909,4.690,4.690,182.490,211.447,200.677
0.082,8.011,4.713,4.713,182.510,211.542,200.647
0.084,8.109,4.740,4.740,182.526,211.635,200.620
0.085,8.203,4.769,4.769,182.540,211.725,200.595
0.086,8.293,4.801,4.801,182.551,211.812,200.574
0.088,8.377,4.831,4.831,182.562,211.893,200.555
0.089,8.455,4.860,4.860,182.572,211.969,200.539
0.091,8.527,4.884,4.884,182.582,212.038,200.525
0.092,8.592,4.903,4.903,182.592,212.101,200.513
0.093,8.651,4.916,4.916,182.602,212.159,200.503
0.095,8.704,4.925,4.925,182.612,212.210,200.496
0.096,8.751,4.929,4.929,182.621,212.256,200.490
0.097,8.792,4.930,4.930,182.629,212.297,200.485
0.099,8.828,4.929,4.929,182.637,212.331,200.482
0.100,8.859,4.926,4.926,182.644,212.361,200.480
0.101,8.884,4.922,4.922,182.651,212.385,200.479
0.103,8.904,4.917,4.917,182.656,212.405,200.479
0.104,8.919,4.913,4.913,182.660,212.419,200.480
0.105,8.930,4.908,4.908,182.664,212.429,200.481
0.107,8.937,4.904,4.904,182.667,212.436,200.483
0.108,8.942,4.900,4.900,182.669,212.440,200.484
0.109,8.945,4.897,4.897,182.670,212.442,200.485
0.111,8.947,4.896,4.896,182.672,212.444,200.486
0.112,8.948,4.895,4.895,182.672,212.445,200.486
0.114,8.951,4.895,4.895,182.673,212.446,200.484
0.115,8.955,4.896,4.896,182.674,212.449,200.482
0.116,8.961,4.898,4.898,182.675,212.455,200.478
0.118,8.972,4.899,4.899,182.675,212.463,200.472
0.119,8.986,4.900,4.900,182.677,212.475,200.464
0.120,9.005,4.901,4.901,182.678,212.491,200.455
0.122,9.027,4.901,4.901,182.681,212.510,200.444
0.123,9.052,4.899,4.899,182.684,212.533,200.432
0.124,9.081,4.897,4.897,182.687,212.558,200.419
0.126,9.112,4.895,4.895,182.691,212.586,200.407
0.127,9.146,4.894,4.894,182.697,212.617,200.394
0.128,9.181,4.893,4.893,182.703,212.650,200.383
0.130,9.218,4.892,4.892,182.710,212.685,200.372
0.131,9.257,4.894,4.894,182.718,212.721,200.362
0.132,9.297,4.897,4.897,182.728,212.759,200.354
0.134,9.339,4.901,4.901,182.739,212.799,200.348
0.135,9.382,4.905,4.905,182.749,212.840,200.342
0.136,9.427,4.908,4.908,182.759,212.883,200.333
0.138,9.474,4.908,4.908,182.768,212.928,200.319
0.139,9.526,4.904,4.904,182.773,212.975,200.298
0.141,9.583,4.896,4.896,182.774,213.024,200.268
0.142,9.650,4.881,4.881,182.770,213.076,200.227
0.143,9.728,4.860,4.860,182.761,213.130,200.172
0.145,9.821,4.835,4.835,182.744,213.187,200.101
0.146,9.931,4.805,4.805,182.719,213.248,200.012
0.147,10.062,4.772,4.772,182.685,213.312,199.902
0.149,10.215,4.739,4.739,182.641,213.379,199.772
0.150,10.387,4.705,4.705,182.589,213.449,199.624
0.151,10.575,4.673,4.673,182.530,213.523,199.462
0.153,10.773,4.643,4.643,182.465,213.599,199.290
0.154,10.980,4.615,4.615,182.396,213.678,199.113
0.155,11.190,4.589,4.589,182.324,213.759,198.933
0.157,11.399,4.564,4.564,182.251,213.842,198.755
0.158,11.605,4.539,4.539,182.177,213.928,198.582
0.159,11.804,4.515,4.515,182.105,214.015,198.420
0.161,11.991,4.490,4.490,182.035,214.103,198.270
0.162,12.164,4.464,4.464,181.969,214.193,198.138
0.164,12.321,4.438,4.438,181.908,214.284,198.025
0.165,12.464,4.411,4.411,181.852,214.375,197.930
0.166,12.595,4.386,4.386,181.800,214.466,197.851
0.168,12.716,4.362,4.362,181.752,214.556,197.786
0.169,12.828,4.341,4.341,181.708,214.645,197.734
0.170,12.933,4.325,4.325,181.667,214.732,197.693
0.172,13.030,4.313,4.313,181.630,214.816,197.661
0.173,13.121,4.307,4.307,181.596,214.897,197.637
0.174,13.207,4.306,4.306,181.564,214.975,197.618
0.176,13.287,4.309,4.309,181.535,215.047,197.603
0.177,13.361,4.315,4.315,181.508,215.115,197.591
0.178,13.429,4.322,4.322,181.484,215.178,197.580
0.180,13.489,4.329,4.329,181.462,215.233,197.570
0.181,13.542,4.335,4.335,181.443,215.281,197.561
0.182,13.585,4.340,4.340,181.427,215.320,197.554
0.184,13.617,4.342,4.342,181.415,215.350,197.548
0.185,13.639,4.342,4.342,181.407,215.370,197.544
0.186,13.648,4.341,4.341,181.403,215.377,197.541
0.188,13.653,4.340,4.340,181.403,215.373,197.539
0.189,13.672,4.337,4.337,181.409,215.355,197.539
0.191,13.706,4.336,4.336,181.420,215.323,197.540
0.192,13.756,4.334,4.334,181.437,215.276,197.542
0.193,13.819,4.334,4.334,181.458,215.217,197.546
0.195,13.887,4.335,4.335,181.481,215.153,197.550
0.196,13.952,4.336,4.336,181.504,215.092,197.554
0.197,14.007,4.336,4.336,181.522,215.040,197.557
0.199,14.044,4.335,4.335,181.535,215.005,197.558
0.200,14.055,4.333,4.333,181.539,214.995,197.557
0.201,14.078,4.329,4.329,181.531,215.015,197.554
0.203,14.141,4.322,4.322,181.509,215.074,197.547
0.204,14.253,4.315,4.315,181.471,215.179,197.536
0.205,14.422,4.310,4.310,181.413,215.337,197.520
0.207,14.654,4.312,4.312,181.334,215.554,197.499
0.208,14.945,4.325,4.325,181.234,215.826,197.473
0.209,15.282,4.352,4.352,181.118,216.142,197.443
0.211,15.654,4.397,4.397,180.991,216.490,197.410
0.212,16.049,4.465,4.465,180.856,216.858,197.375
