"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,3.859,3.859,218.423,219.302,203.263
0.001,0.157,3.955,3.955,218.332,219.239,203.151
0.003,0.313,4.050,4.050,218.243,219.177,203.040
0.004,0.466,4.141,4.141,218.155,219.114,202.931
0.006,0.614,4.227,4.227,218.071,219.052,202.826
0.007,0.756,4.307,4.307,217.992,218.991,202.726
0.009,0.890,4.378,4.378,217.918,218.929,202.632
0.010,1.014,4.438,4.438,217.852,218.869,202.546
0.012,1.129,4.488,4.488,217.794,218.808,202.468
0.013,1.232,4.529,4.529,217.745,218.749,202.400
0.015,1.322,4.563,4.563,217.707,218.690,202.343
0.016,1.400,4.591,4.591,217.681,218.633,202.298
0.018,1.467,4.616,4.616,217.666,218.576,202.265
0.019,1.525,4.640,4.640,217.661,218.522,202.243
0.021,1.579,4.664,4.664,217.665,218.470,202.231
0.022,1.628,4.689,4.689,217.674,218.422,202.226
0.024,1.674,4.715,4.715,217.687,218.378,202.226
0.025,1.716,4.739,4.739,217.702,218.339,202.231
0.027,1.753,4.761,4.761,217.716,218.306,202.238
0.028,1.783,4.779,4.779,217.729,218.279,202.246
0.030,1.805,4.791,4.791,217.738,218.260,202.252
0.031,1.817,4.796,4.796,217.740,218.250,202.256
0.033,1.823,4.796,4.796,217.734,218.248,202.255
0.034,1.837,4.791,4.791,217.721,218.253,202.250
0.036,1.859,4.785,4.785,217.704,218.263,202.243
0.037,1.882,4.779,4.779,217.686,218.275,202.234
0.039,1.903,4.775,4.775,217.669,218.286,202.226
0.040,1.918,4.776,4.776,217.658,218.293,202.220
0.042,1.923,4.783,4.783,217.654,218.292,202.217
0.043,1.936,4.797,4.797,217.661,218.282,202.220
0.045,1.968,4.818,4.818,217.681,218.258,202.229
0.046,2.025,4.846,4.846,217.718,218.219,202.247
0.047,2.111,4.880,4.880,217.775,218.161,202.274
0.049,2.229,4.921,4.921,217.854,218.082,202.312
0.050,2.375,4.969,4.969,217.952,217.984,202.361
0.052,2.546,5.022,5.022,218.063,217.870,202.420
0.053,2.733,5.077,5.077,218.184,217.743,202.486
0.055,2.934,5.132,5.132,218.310,217.605,202.561
0.056,3.141,5.181,5.181,218.436,217.461,202.641
0.058,3.351,5.222,5.222,218.557,217.313,202.727
0.059,3.557,5.249,5.249,218.669,217.165,202.817
0.061,3.757,5.260,5.260,218.767,217.018,202.910
0.062,3.944,5.253,5.253,218.846,216.877,203.004
0.064,4.117,5.231,5.231,218.901,216.744,203.100
0.065,4.276,5.201,5.201,218.931,216.622,203.197
0.067,4.424,5.166,5.166,218.938,216.509,203.293
0.068,4.568,5.131,5.131,218.926,216.404,203.390
0.070,4.708,5.102,5.102,218.899,216.307,203.488
0.071,4.848,5.083,5.083,218.859,216.216,203.587
0.073,4.988,5.077,5.077,218.811,216.131,203.686
0.074,5.128,5.082,5.082,218.758,216.050,203.788
0.076,5.268,5.094,5.094,218.704,215.972,203.890
0.077,5.407,5.111,5.111,218.653,215.896,203.995
0.079,5.544,5.132,5.132,218.607,215.821,204.101
0.080,5.681,5.153,5.153,218.571,215.746,204.209
0.082,5.817,5.172,5.172,218.546,215.671,204.319
0.083,5.950,5.188,5.188,218.530,215.597,204.429
0.085,6.081,5.199,5.199,218.522,215.524,204.538
0.086,6.208,5.205,5.205,218.521,215.454,204.644
0.088,6.330,5.205,5.205,218.525,215.387,204.745
0.089,6.444,5.198,5.198,218.534,215.324,204.841
0.091,6.551,5.183,5.183,218.546,215.266,204.929
0.092,6.648,5.160,5.160,218.560,215.214,205.009
0.093,6.732,5.130,5.130,218.575,215.168,205.079
0.095,6.803,5.096,5.096,218.588,215.130,205.138
0.096,6.860,5.061,5.061,218.600,215.100,205.184
0.098,6.902,5.029,5.029,218.609,215.076,205.218
0.099,6.933,5.002,5.002,218.616,215.057,205.241
0.101,6.957,4.983,4.983,218.620,215.040,205.257
0.102,6.976,4.975,4.975,218.622,215.023,205.266
0.104,6.997,4.976,4.976,218.620,215.003,205.270
0.105,7.021,4.984,4.984,218.615,214.979,205.271
0.107,7.053,4.995,4.995,218.607,214.948,205.270
0.108,7.095,5.008,5.008,218.596,214.908,205.270
0.110,7.149,5.020,5.020,218.581,214.856,205.271
0.111,7.217,5.028,5.028,218.563,214.791,205.276
0.113,7.301,5.030,5.030,218.540,214.710,205.287
0.114,7.402,5.028,5.028,218.516,214.613,205.302
0.116,7.522,5.022,5.022,218.490,214.498,205.322
0.117,7.660,5.013,5.013,218.464,214.365,205.347
0.119,7.817,5.002,5.002,218.440,214.212,205.377
0.120,7.995,4.990,4.990,218.419,214.039,205.412
0.122,8.194,4.978,4.978,218.401,213.844,205.450
0.123,8.416,4.967,4.967,218.389,213.628,205.493
0.125,8.661,4.961,4.961,218.383,213.387,205.541
0.126,8.930,4.961,4.961,218.385,213.123,205.592
0.128,9.225,4.971,4.971,218.396,212.834,205.648
0.129,9.543,4.992,4.992,218.416,212.522,205.706
0.131,9.877,5.027,5.027,218.443,212.194,205.767
0.132,10.222,5.079,5.079,218.476,211.857,205.830
0.134,10.569,5.146,5.146,218.512,211.517,205.893
0.135,10.912,5.221,5.221,218.551,211.182,205.956
0.136,11.244,5.297,5.297,218.590,210.858,206.017
0.138,11.558,5.368,5.368,218.628,210.553,206.076
0.139,11.846,5.427,5.427,218.663,210.272,206.131
0.141,12.101,5.468,5.468,218.693,210.023,206.181
0.142,12.318,5.484,5.484,218.716,209.813,206.226
0.144,12.488,5.478,5.478,218.731,209.647,206.265
0.145,12.615,5.456,5.456,218.738,209.525,206.298
0.147,12.705,5.426,5.426,218.737,209.440,206.326
0.148,12.765,5.393,5.393,218.729,209.386,206.351
0.150,12.804,5.366,5.366,218.716,209.357,206.374
0.151,12.835,5.351,5.351,218.696,209.347,206.395
0.153,12.868,5.354,5.354,218.672,209.351,206.417
0.154,12.907,5.373,5.373,218.643,209.362,206.441
0.156,12.950,5.407,5.407,218.611,209.375,206.468
0.157,12.997,5.450,5.450,218.577,209.383,206.498
0.159,13.049,5.501,5.501,218.540,209.381,206.534
0.160,13.108,5.555,5.555,218.502,209.364,206.576
0.162,13.178,5.610,5.610,218.462,209.332,206.624
0.163,13.258,5.662,5.662,218.422,209.287,206.678
0.165,13.348,5.712,5.712,218.381,209.232,206.735
0.166,13.447,5.759,5.759,218.338,209.168,206.797
0.168,13.552,5.803,5.803,218.295,209.096,206.861
0.169,13.663,5.844,5.844,218.252,209.020,206.928
0.171,13.777,5.881,5.881,218.208,208.940,206.997
0.172,13.893,5.916,5.916,218.164,208.858,207.067
0.174,14.010,5.948,5.948,218.120,208.777,207.138
0.175,14.124,5.977,5.977,218.076,208.698,207.208
0.177,14.236,6.007,6.007,218.032,208.622,207.277
0.178,14.344,6.036,6.036,217.988,208.548,207.344
0.180,14.450,6.067,6.067,217.945,208.476,207.408
0.181,14.552,6.100,6.100,217.902,208.406,207.468
0.182,14.651,6.137,6.137,217.860,208.335,207.523
0.184,14.747,6.178,6.178,217.818,208.264,207.572
0.185,14.840,6.220,6.220,217.776,208.193,207.614
0.187,14.931,6.263,6.263,217.736,208.119,207.649
0.188,15.021,6.304,6.304,217.696,208.043,207.674
0.190,15.110,6.341,6.341,217.657,207.963,207.690
0.191,15.202,6.374,6.374,217.619,207.880,207.695
0.193,15.298,6.401,6.401,217.581,207.792,207.689
0.194,15.400,6.421,6.421,217.545,207.698,207.675
0.196,15.510,6.438,6.438,217.509,207.596,207.652
0.197,15.628,6.453,6.453,217.475,207.487,207.624
0.199,15.757,6.467,6.467,217.440,207.368,207.590
0.200,15.896,6.484,6.484,217.407,207.238,207.552
0.202,16.047,6.505,6.505,217.374,207.097,207.511
0.203,16.210,6.532,6.532,217.341,206.943,207.469
0.205,16.386,6.565,6.565,217.309,206.774,207.428
0.206,16.576,6.604,6.604,217.277,206.591,207.387
0.208,16.781,6.650,6.650,217.246,206.393,207.349
0.209,16.996,6.703,6.703,217.215,206.182,207.314
0.211,17.218,6.763,6.763,217.185,205.965,207.283
0.212,17.440,6.830,6.830,217.156,205.746,207.257
0.214,17.659,6.903,6.903,217.128,205.530,207.235
0.215,17.870,6.979,6.979,217.101,205.321,207.219
0.217,18.068,7.052,7.052,217.075,205.126,207.209
0.218,18.247,7.119,7.119,217.051,204.948,207.205
0.220,18.404,7.174,7.174,217.028,204.793,207.208
0.221,18.534,7.214,7.214,217.007,204.665,207.219
0.223,18.633,7.233,7.233,216.989,204.570,207.238
0.224,18.702,7.231,7.231,216.972,204.508,207.265
0.226,18.748,7.212,7.212,216.959,204.476,207.296
0.227,18.783,7.183,7.183,216.948,204.467,207.327
0.228,18.812,7.148,7.148,216.940,204.474,207.355
0.230,18.840,7.114,7.114,216.936,204.492,207.376
0.231,18.865,7.087,7.087,216.936,204.515,207.385
0.233,18.888,7.073,7.073,216.941,204.537,207.381
