"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.482,2.482,239.034,209.333,198.625
0.001,0.055,2.460,2.460,239.024,209.375,198.591
0.002,0.108,2.438,2.438,239.014,209.415,198.559
0.004,0.154,2.419,2.419,239.005,209.451,198.530
0.005,0.193,2.403,2.403,238.997,209.480,198.505
0.006,0.221,2.392,2.392,238.991,209.499,198.487
0.007,0.235,2.386,2.386,238.986,209.508,198.476
0.008,0.242,2.388,2.388,238.983,209.502,198.474
0.010,0.265,2.397,2.397,238.982,209.481,198.484
0.011,0.310,2.416,2.416,238.984,209.441,198.505
0.012,0.380,2.443,2.443,238.990,209.381,198.540
0.013,0.478,2.479,2.479,238.998,209.298,198.591
0.014,0.605,2.523,2.523,239.010,209.190,198.659
0.015,0.760,2.572,2.572,239.026,209.061,198.742
0.017,0.938,2.627,2.627,239.046,208.913,198.838
0.018,1.132,2.686,2.686,239.069,208.752,198.946
0.019,1.340,2.749,2.749,239.095,208.582,199.062
0.020,1.556,2.814,2.814,239.125,208.408,199.186
0.021,1.775,2.880,2.880,239.158,208.233,199.314
0.023,1.992,2.947,2.947,239.195,208.063,199.444
0.024,2.204,3.016,3.016,239.234,207.902,199.575
0.025,2.405,3.084,3.084,239.276,207.753,199.704
0.026,2.592,3.154,3.154,239.322,207.622,199.829
0.027,2.760,3.223,3.223,239.370,207.513,199.947
0.029,2.910,3.292,3.292,239.421,207.426,200.059
0.030,3.046,3.361,3.361,239.474,207.360,200.165
0.031,3.171,3.429,3.429,239.530,207.312,200.266
0.032,3.289,3.497,3.497,239.588,207.279,200.363
0.033,3.401,3.564,3.564,239.648,207.260,200.456
0.034,3.512,3.631,3.631,239.710,207.253,200.547
0.036,3.622,3.697,3.697,239.775,207.254,200.637
0.037,3.733,3.763,3.763,239.841,207.262,200.725
0.038,3.846,3.829,3.829,239.909,207.275,200.814
0.039,3.961,3.894,3.894,239.978,207.290,200.905
0.040,4.078,3.960,3.960,240.049,207.305,200.997
0.042,4.197,4.025,4.025,240.121,207.318,201.091
0.043,4.317,4.090,4.090,240.193,207.330,201.186
0.044,4.437,4.152,4.152,240.266,207.341,201.282
0.045,4.556,4.212,4.212,240.337,207.351,201.376
0.046,4.672,4.269,4.269,240.406,207.361,201.468
0.048,4.783,4.321,4.321,240.473,207.372,201.557
0.049,4.889,4.367,4.367,240.537,207.382,201.641
0.050,4.989,4.408,4.408,240.596,207.393,201.720
0.051,5.081,4.441,4.441,240.652,207.406,201.792
0.052,5.164,4.468,4.468,240.702,207.419,201.857
0.053,5.236,4.488,4.488,240.746,207.434,201.912
0.055,5.298,4.503,4.503,240.783,207.451,201.959
0.056,5.350,4.513,4.513,240.815,207.470,201.996
0.057,5.394,4.519,4.519,240.841,207.489,202.026
0.058,5.432,4.522,4.522,240.863,207.509,202.049
0.059,5.464,4.524,4.524,240.880,207.530,202.066
0.061,5.491,4.524,4.524,240.895,207.550,202.078
0.062,5.516,4.524,4.524,240.907,207.569,202.086
0.063,5.538,4.524,4.524,240.917,207.588,202.091
0.064,5.558,4.523,4.523,240.927,207.605,202.094
0.065,5.575,4.523,4.523,240.935,207.621,202.096
0.067,5.591,4.523,4.523,240.944,207.634,202.097
0.068,5.606,4.524,4.524,240.953,207.645,202.100
0.069,5.619,4.525,4.525,240.963,207.653,202.103
0.070,5.631,4.527,4.527,240.973,207.659,202.107
0.071,5.641,4.530,4.530,240.982,207.662,202.110
0.072,5.649,4.534,4.534,240.989,207.664,202.113
0.074,5.655,4.539,4.539,240.995,207.664,202.115
0.075,5.658,4.545,4.545,240.997,207.662,202.117
0.076,5.662,4.551,4.551,240.996,207.659,202.116
0.077,5.669,4.557,4.557,240.991,207.654,202.114
0.078,5.680,4.564,4.564,240.982,207.649,202.110
0.080,5.698,4.571,4.571,240.967,207.642,202.104
0.081,5.722,4.577,4.577,240.947,207.635,202.095
0.082,5.750,4.584,4.584,240.922,207.627,202.083
0.083,5.780,4.590,4.590,240.895,207.620,202.072
0.084,5.808,4.595,4.595,240.870,207.614,202.061
0.086,5.831,4.598,4.598,240.849,207.610,202.053
0.087,5.846,4.600,4.600,240.835,207.608,202.049
0.088,5.851,4.598,4.598,240.830,207.610,202.050
0.089,5.864,4.594,4.594,240.837,207.615,202.059
0.090,5.894,4.585,4.585,240.860,207.626,202.076
0.091,5.945,4.573,4.573,240.900,207.641,202.104
0.093,6.021,4.557,4.557,240.961,207.663,202.143
0.094,6.124,4.539,4.539,241.045,207.692,202.195
0.095,6.255,4.519,4.519,241.153,207.727,202.259
0.096,6.407,4.500,4.500,241.279,207.767,202.334
0.097,6.576,4.482,4.482,241.420,207.812,202.417
0.099,6.756,4.467,4.467,241.571,207.859,202.504
0.100,6.943,4.456,4.456,241.727,207.907,202.593
0.101,7.130,4.451,4.451,241.885,207.955,202.681
0.102,7.312,4.452,4.452,242.040,208.001,202.766
0.103,7.485,4.460,4.460,242.187,208.045,202.844
0.105,7.642,4.471,4.471,242.322,208.084,202.914
0.106,7.778,4.486,4.486,242.441,208.117,202.972
0.107,7.889,4.503,4.503,242.540,208.143,203.015
0.108,7.972,4.521,4.521,242.615,208.162,203.043
0.109,8.030,4.538,4.538,242.670,208.174,203.058
0.110,8.067,4.553,4.553,242.707,208.180,203.061
0.112,8.089,4.565,4.565,242.728,208.181,203.058
0.113,8.101,4.574,4.574,242.737,208.180,203.049
0.114,8.113,4.579,4.579,242.736,208.176,203.037
0.115,8.127,4.582,4.582,242.729,208.171,203.027
0.116,8.142,4.583,4.583,242.717,208.166,203.019
0.118,8.155,4.583,4.583,242.704,208.163,203.018
0.119,8.168,4.582,4.582,242.693,208.162,203.026
0.120,8.189,4.580,4.580,242.686,208.164,203.045
0.121,8.223,4.579,4.579,242.687,208.171,203.078
0.122,8.269,4.578,4.578,242.696,208.181,203.123
0.124,8.327,4.577,4.577,242.715,208.192,203.177
0.125,8.395,4.575,4.575,242.745,208.201,203.236
0.126,8.471,4.571,4.571,242.788,208.208,203.299
0.127,8.556,4.563,4.563,242.845,208.209,203.362
0.128,8.650,4.550,4.550,242.917,208.203,203.422
0.129,8.755,4.532,4.532,243.006,208.188,203.476
0.131,8.874,4.508,4.508,243.113,208.162,203.522
0.132,9.010,4.476,4.476,243.239,208.122,203.556
0.133,9.168,4.436,4.436,243.385,208.068,203.576
0.134,9.351,4.392,4.392,243.554,207.996,203.579
0.135,9.560,4.345,4.345,243.742,207.908,203.565
0.137,9.790,4.297,4.297,243.948,207.808,203.537
0.138,10.041,4.252,4.252,244.169,207.698,203.496
0.139,10.306,4.211,4.211,244.401,207.580,203.444
0.140,10.584,4.176,4.176,244.643,207.458,203.382
0.141,10.869,4.150,4.150,244.890,207.334,203.314
0.143,11.157,4.135,4.135,245.141,207.212,203.240
0.144,11.446,4.130,4.130,245.393,207.093,203.163
0.145,11.730,4.134,4.134,245.642,206.982,203.084
0.146,12.006,4.145,4.145,245.886,206.880,203.005
0.147,12.270,4.163,4.163,246.123,206.791,202.929
0.148,12.520,4.185,4.185,246.350,206.715,202.856
0.150,12.757,4.210,4.210,246.567,206.651,202.788
0.151,12.980,4.237,4.237,246.774,206.596,202.725
0.152,13.190,4.265,4.265,246.971,206.551,202.668
0.153,13.386,4.293,4.293,247.157,206.513,202.618
0.154,13.569,4.321,4.321,247.332,206.481,202.577
0.156,13.738,4.349,4.349,247.495,206.453,202.543
0.157,13.893,4.376,4.376,247.647,206.429,202.520
0.158,14.035,4.404,4.404,247.786,206.405,202.507
0.159,14.164,4.431,4.431,247.913,206.382,202.505
0.160,14.282,4.459,4.459,248.027,206.357,202.515
0.162,14.388,4.486,4.486,248.128,206.330,202.537
0.163,14.486,4.513,4.513,248.216,206.302,202.569
0.164,14.575,4.539,4.539,248.292,206.273,202.606
0.165,14.655,4.564,4.564,248.355,206.245,202.647
0.166,14.725,4.584,4.584,248.405,206.220,202.688
0.167,14.784,4.601,4.601,248.443,206.197,202.726
0.169,14.830,4.613,4.613,248.468,206.178,202.760
0.170,14.861,4.617,4.617,248.482,206.164,202.785
0.171,14.878,4.615,4.615,248.483,206.156,202.799
0.172,14.888,4.604,4.604,248.473,206.155,202.799
0.173,14.917,4.585,4.585,248.451,206.162,202.782
0.175,14.967,4.560,4.560,248.418,206.177,202.747
0.176,15.032,4.531,4.531,248.379,206.199,202.699
0.177,15.105,4.501,4.501,248.337,206.223,202.645
0.178,15.177,4.473,4.473,248.296,206.248,202.591
0.179,15.239,4.448,4.448,248.262,206.269,202.544
0.181,15.283,4.429,4.429,248.239,206.285,202.510
0.182,15.301,4.419,4.419,248.231,206.292,202.495
0.183,15.318,4.418,4.418,248.243,206.286,202.506
0.184,15.378,4.430,4.430,248.278,206.267,202.550
0.185,15.489,4.455,4.455,248.342,206.229,202.633
0.186,15.659,4.493,4.493,248.438,206.171,202.761
0.188,15.896,4.546,4.546,248.571,206.090,202.939
0.189,16.192,4.614,4.614,248.736,205.987,203.163
