"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.522,2.522,238.721,209.135,198.536
0.001,0.058,2.495,2.495,238.708,209.177,198.498
0.002,0.113,2.469,2.469,238.697,209.216,198.461
0.004,0.164,2.444,2.444,238.686,209.253,198.427
0.005,0.208,2.422,2.422,238.676,209.284,198.397
0.006,0.243,2.404,2.404,238.668,209.309,198.374
0.007,0.267,2.390,2.390,238.662,209.325,198.357
0.009,0.278,2.382,2.382,238.658,209.331,198.349
0.010,0.284,2.379,2.379,238.657,209.325,198.351
0.011,0.308,2.384,2.384,238.660,209.306,198.364
0.012,0.351,2.396,2.396,238.666,209.271,198.390
0.013,0.418,2.418,2.418,238.676,209.220,198.431
0.015,0.509,2.449,2.449,238.691,209.150,198.487
0.016,0.626,2.490,2.490,238.711,209.060,198.561
0.017,0.770,2.542,2.542,238.736,208.951,198.651
0.018,0.937,2.606,2.606,238.765,208.824,198.755
0.020,1.121,2.682,2.682,238.797,208.685,198.871
0.021,1.318,2.772,2.772,238.832,208.536,198.996
0.022,1.525,2.873,2.873,238.869,208.381,199.127
0.023,1.737,2.982,2.982,238.908,208.222,199.262
0.024,1.949,3.094,3.094,238.947,208.063,199.397
0.026,2.157,3.205,3.205,238.986,207.908,199.530
0.027,2.357,3.310,3.310,239.025,207.760,199.659
0.028,2.545,3.404,3.404,239.061,207.622,199.781
0.029,2.716,3.485,3.485,239.096,207.498,199.893
0.031,2.866,3.546,3.546,239.128,207.390,199.992
0.032,2.991,3.587,3.587,239.156,207.302,200.076
0.033,3.093,3.611,3.611,239.182,207.233,200.147
0.034,3.174,3.621,3.621,239.205,207.182,200.206
0.035,3.238,3.623,3.623,239.227,207.146,200.255
0.037,3.290,3.620,3.620,239.248,207.124,200.296
0.038,3.333,3.616,3.616,239.271,207.115,200.332
0.039,3.373,3.615,3.615,239.294,207.115,200.365
0.040,3.415,3.623,3.623,239.320,207.125,200.396
0.042,3.461,3.641,3.641,239.349,207.141,200.429
0.043,3.514,3.670,3.670,239.382,207.162,200.464
0.044,3.575,3.707,3.707,239.419,207.186,200.505
0.045,3.645,3.752,3.752,239.463,207.211,200.554
0.046,3.725,3.803,3.803,239.513,207.236,200.611
0.048,3.817,3.857,3.857,239.570,207.260,200.680
0.049,3.919,3.914,3.914,239.632,207.282,200.757
0.050,4.028,3.973,3.973,239.699,207.301,200.841
0.051,4.144,4.030,4.030,239.769,207.319,200.931
0.053,4.263,4.086,4.086,239.842,207.335,201.024
0.054,4.384,4.140,4.140,239.914,207.348,201.120
0.055,4.504,4.193,4.193,239.986,207.359,201.216
0.056,4.622,4.243,4.243,240.056,207.368,201.310
0.057,4.735,4.291,4.291,240.123,207.374,201.401
0.059,4.841,4.337,4.337,240.185,207.378,201.487
0.060,4.938,4.379,4.379,240.242,207.379,201.566
0.061,5.024,4.419,4.419,240.292,207.377,201.636
0.062,5.098,4.455,4.455,240.333,207.372,201.697
0.064,5.158,4.487,4.487,240.367,207.365,201.747
0.065,5.208,4.516,4.516,240.393,207.356,201.788
0.066,5.249,4.542,4.542,240.414,207.345,201.821
0.067,5.282,4.563,4.563,240.431,207.333,201.847
0.068,5.310,4.581,4.581,240.444,207.320,201.868
0.070,5.332,4.595,4.595,240.455,207.307,201.883
0.071,5.352,4.606,4.606,240.465,207.295,201.894
0.072,5.370,4.612,4.612,240.475,207.283,201.903
0.073,5.387,4.615,4.615,240.486,207.273,201.910
0.075,5.404,4.615,4.615,240.500,207.264,201.917
0.076,5.424,4.613,4.613,240.517,207.258,201.924
0.077,5.448,4.610,4.610,240.539,207.254,201.932
0.078,5.477,4.606,4.606,240.566,207.253,201.943
0.079,5.511,4.602,4.602,240.598,207.255,201.955
0.081,5.548,4.598,4.598,240.632,207.259,201.969
0.082,5.588,4.595,4.595,240.669,207.264,201.983
0.083,5.628,4.593,4.593,240.706,207.270,201.997
0.084,5.667,4.592,4.592,240.742,207.277,202.010
0.086,5.703,4.592,4.592,240.776,207.284,202.022
0.087,5.736,4.593,4.593,240.806,207.289,202.032
0.088,5.763,4.595,4.595,240.832,207.294,202.040
0.089,5.783,4.599,4.599,240.851,207.297,202.044
0.090,5.796,4.603,4.603,240.863,207.297,202.045
0.092,5.801,4.608,4.608,240.867,207.295,202.041
0.093,5.814,4.614,4.614,240.861,207.289,202.032
0.094,5.836,4.620,4.620,240.845,207.280,202.019
0.095,5.865,4.626,4.626,240.823,207.269,202.003
0.097,5.899,4.631,4.631,240.798,207.256,201.985
0.098,5.932,4.635,4.635,240.771,207.244,201.968
0.099,5.963,4.636,4.636,240.747,207.234,201.953
0.100,5.987,4.635,4.635,240.728,207.225,201.941
0.101,6.002,4.631,4.631,240.716,207.220,201.935
0.103,6.003,4.624,4.624,240.715,207.219,201.935
0.104,6.019,4.614,4.614,240.727,207.223,201.944
0.105,6.054,4.603,4.603,240.755,207.235,201.962
0.106,6.114,4.590,4.590,240.802,207.254,201.993
0.108,6.200,4.577,4.577,240.871,207.281,202.036
0.109,6.316,4.565,4.565,240.964,207.319,202.094
0.110,6.458,4.553,4.553,241.079,207.364,202.165
0.111,6.621,4.543,4.543,241.210,207.417,202.246
0.112,6.801,4.534,4.534,241.356,207.475,202.335
0.114,6.993,4.528,4.528,241.511,207.537,202.429
0.115,7.192,4.524,4.524,241.673,207.600,202.526
0.116,7.392,4.523,4.523,241.836,207.665,202.623
0.117,7.590,4.523,4.523,241.998,207.728,202.718
0.119,7.780,4.526,4.526,242.154,207.788,202.808
0.120,7.958,4.531,4.531,242.301,207.844,202.890
0.121,8.118,4.538,4.538,242.434,207.894,202.964
0.122,8.255,4.547,4.547,242.550,207.936,203.025
0.123,8.366,4.558,4.558,242.645,207.969,203.071
0.125,8.449,4.569,4.569,242.718,207.993,203.101
0.126,8.506,4.581,4.581,242.770,208.008,203.119
0.127,8.541,4.591,4.591,242.804,208.016,203.125
0.128,8.560,4.599,4.599,242.823,208.018,203.123
0.130,8.571,4.605,4.605,242.828,208.015,203.114
0.131,8.586,4.607,4.607,242.822,208.008,203.102
0.132,8.608,4.605,4.605,242.808,208.000,203.087
0.133,8.634,4.599,4.599,242.788,207.991,203.074
0.134,8.662,4.590,4.590,242.764,207.982,203.063
0.136,8.689,4.578,4.578,242.738,207.976,203.058
0.137,8.714,4.566,4.566,242.714,207.972,203.060
0.138,8.738,4.554,4.554,242.692,207.973,203.072
0.139,8.767,4.543,4.543,242.677,207.979,203.096
0.141,8.805,4.535,4.535,242.669,207.990,203.132
0.142,8.852,4.530,4.530,242.670,208.004,203.176
0.143,8.906,4.528,4.528,242.680,208.019,203.227
0.144,8.968,4.528,4.528,242.702,208.033,203.283
0.145,9.036,4.528,4.528,242.736,208.045,203.341
0.147,9.112,4.527,4.527,242.784,208.053,203.399
0.148,9.196,4.522,4.522,242.847,208.054,203.455
0.149,9.291,4.513,4.513,242.926,208.048,203.507
0.150,9.398,4.497,4.497,243.023,208.033,203.552
0.152,9.522,4.474,4.474,243.138,208.006,203.587
0.153,9.665,4.441,4.441,243.273,207.966,203.612
0.154,9.832,4.402,4.402,243.430,207.911,203.623
0.155,10.024,4.358,4.358,243.608,207.840,203.620
0.156,10.239,4.312,4.312,243.806,207.756,203.603
0.158,10.474,4.266,4.266,244.018,207.661,203.574
0.159,10.725,4.223,4.223,244.243,207.556,203.534
0.160,10.989,4.185,4.185,244.478,207.446,203.485
0.161,11.261,4.155,4.155,244.719,207.331,203.429
0.163,11.539,4.135,4.135,244.963,207.215,203.366
0.164,11.817,4.124,4.124,245.207,207.100,203.299
0.165,12.092,4.122,4.122,245.448,206.988,203.228
0.166,12.359,4.128,4.128,245.682,206.882,203.155
0.167,12.615,4.140,4.140,245.908,206.784,203.083
0.169,12.856,4.158,4.158,246.120,206.696,203.011
0.170,13.078,4.181,4.181,246.317,206.622,202.942
0.171,13.280,4.207,4.207,246.498,206.560,202.877
0.172,13.464,4.235,4.235,246.665,206.510,202.817
0.174,13.632,4.265,4.265,246.818,206.470,202.761
0.175,13.785,4.296,4.296,246.959,206.438,202.712
0.176,13.925,4.327,4.327,247.090,206.413,202.669
0.177,14.054,4.356,4.356,247.212,206.393,202.634
0.178,14.173,4.384,4.384,247.327,206.377,202.606
0.180,14.285,4.409,4.409,247.436,206.363,202.588
0.181,14.391,4.430,4.430,247.541,206.349,202.578
0.182,14.494,4.447,4.447,247.643,206.334,202.580
0.183,14.597,4.459,4.459,247.744,206.317,202.592
0.185,14.702,4.467,4.467,247.845,206.295,202.615
0.186,14.814,4.474,4.474,247.946,206.268,202.651
0.187,14.930,4.479,4.479,248.049,206.236,202.697
0.188,15.049,4.484,4.484,248.149,206.201,202.750
0.189,15.170,4.490,4.490,248.248,206.163,202.809
0.191,15.289,4.499,4.499,248.342,206.124,202.870
0.192,15.404,4.511,4.511,248.431,206.086,202.932
0.193,15.512,4.528,4.528,248.513,206.048,202.992
0.194,15.611,4.548,4.548,248.586,206.013,203.048
0.196,15.697,4.569,4.569,248.650,205.981,203.097
0.197,15.769,4.589,4.589,248.703,205.954,203.136
0.198,15.822,4.607,4.607,248.743,205.933,203.165
0.199,15.855,4.621,4.621,248.769,205.919,203.179
0.200,15.867,4.630,4.630,248.780,205.914,203.177
0.202,15.885,4.630,4.630,248.776,205.916,203.160
0.203,15.919,4.622,4.622,248.762,205.925,203.131
0.204,15.963,4.606,4.606,248.739,205.937,203.095
0.205,16.012,4.585,4.585,248.713,205.952,203.057
0.207,16.059,4.562,4.562,248.688,205.967,203.020
0.208,16.098,4.541,4.541,248.665,205.979,202.990
0.209,16.124,4.523,4.523,248.650,205.988,202.971
0.210,16.130,4.511,4.511,248.646,205.991,202.968
0.211,16.150,4.509,4.509,248.657,205.986,202.984
0.213,16.203,4.520,4.520,248.686,205.970,203.025
0.214,16.294,4.544,4.544,248.737,205.943,203.094
0.215,16.429,4.582,4.582,248.814,205.901,203.197
0.216,16.613,4.634,4.634,248.919,205.843,203.337
0.218,16.843,4.699,4.699,249.051,205.771,203.511
0.219,17.111,4.779,4.779,249.205,205.687,203.713
0.220,17.408,4.872,4.872,249.376,205.593,203.938
0.221,17.728,4.980,4.980,249.561,205.491,204.178
0.222,18.062,5.101,5.101,249.753,205.384,204.430
0.224,18.403,5.234,5.234,249.950,205.275,204.685
0.225,18.743,5.376,5.376,250.147,205.165,204.940
0.226,19.074,5.521,5.521,250.338,205.057,205.188
0.227,19.389,5.666,5.666,250.520,204.953,205.424
0.229,19.680,5.804,5.804,250.688,204.857,205.640
0.230,19.938,5.932,5.932,250.837,204.769,205.832
0.231,20.158,6.045,6.045,250.964,204.693,205.994
0.232,20.333,6.139,6.139,251.066,204.630,206.123
0.233,20.469,6.210,6.210,251.144,204.578,206.220
0.235,20.568,6.259,6.259,251.201,204.538,206.291
0.236,20.636,6.290,6.290,251.240,204.506,206.337
0.237,20.678,6.306,6.306,251.263,204.483,206.363
0.238,20.698,6.310,6.310,251.273,204.468,206.372
0.240,20.710,6.305,6.305,251.272,204.457,206.366
0.241,20.730,6.295,6.295,251.262,204.452,206.350
0.242,20.758,6.283,6.283,251.246,204.450,206.326
0.243,20.792,6.271,6.271,251.227,204.450,206.298
0.244,20.827,6.261,6.261,251.207,204.451,206.269
0.246,20.859,6.253,6.253,251.188,204.452,206.243
0.247,20.885,6.247,6.247,251.173,204.451,206.223
0.248,20.902,6.243,6.243,251.163,204.449,206.209
0.249,20.913,6.241,6.241,251.156,204.445,206.201
0.251,20.919,6.241,6.241,251.154,204.440,206.198
0.252,20.925,6.243,6.243,251.154,204.434,206.200
0.253,20.934,6.247,6.247,251.157,204.428,206.204
0.254,20.946,6.253,6.252,251.163,204.420,206.212
0.256,20.960,6.259,6.259,251.170,204.413,206.221
0.257,20.976,6.267,6.267,251.179,204.405,206.231
0.258,20.992,6.275,6.275,251.189,204.397,206.241
0.259,21.008,6.282,6.282,251.200,204.390,206.251
0.260,21.024,6.288,6.288,251.211,204.383,206.260
0.262,21.038,6.293,6.293,251.221,204.377,206.266
0.263,21.049,6.295,6.295,251.231,204.372,206.270
0.264,21.060,6.295,6.295,251.240,204.367,206.272
0.265,21.069,6.293,6.294,251.249,204.364,206.271
0.267,21.077,6.290,6.291,251.256,204.361,206.270
0.268,21.085,6.286,6.287,251.263,204.358,206.267
0.269,21.091,6.282,6.282,251.268,204.356,206.263
0.270,21.098,6.278,6.278,251.273,204.354,206.259
0.271,21.103,6.274,6.275,251.276,204.352,206.256
0.273,21.106,6.273,6.273,251.278,204.350,206.254
0.274,21.109,6.273,6.273,251.278,204.348,206.252
0.275,21.112,6.275,6.274,251.278,204.345,206.253
