"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.909,1.909,184.915,182.875,178.289
0.001,0.274,2.070,2.070,184.664,182.937,178.200
0.003,0.545,2.231,2.231,184.414,182.998,178.112
0.004,0.814,2.392,2.392,184.167,183.056,178.025
0.005,1.077,2.552,2.552,183.924,183.112,177.942
0.007,1.333,2.711,2.711,183.686,183.163,177.862
0.008,1.580,2.869,2.869,183.455,183.209,177.786
0.009,1.817,3.025,3.025,183.233,183.249,177.715
0.011,2.041,3.179,3.179,183.020,183.282,177.651
0.012,2.253,3.331,3.331,182.818,183.307,177.594
0.013,2.449,3.477,3.477,182.628,183.322,177.545
0.015,2.630,3.616,3.616,182.453,183.327,177.504
0.016,2.794,3.745,3.745,182.292,183.321,177.473
0.017,2.941,3.863,3.863,182.147,183.303,177.453
0.019,3.075,3.966,3.966,182.016,183.275,177.443
0.020,3.198,4.053,4.053,181.898,183.238,177.443
0.022,3.313,4.122,4.122,181.792,183.196,177.454
0.023,3.422,4.173,4.173,181.696,183.148,177.476
0.024,3.528,4.209,4.209,181.609,183.098,177.508
0.026,3.632,4.231,4.231,181.529,183.047,177.551
0.027,3.736,4.239,4.239,181.455,182.997,177.604
0.028,3.842,4.236,4.236,181.385,182.950,177.668
0.030,3.951,4.223,4.223,181.318,182.907,177.743
0.031,4.065,4.200,4.200,181.252,182.871,177.829
0.032,4.185,4.171,4.171,181.187,182.842,177.925
0.034,4.312,4.136,4.136,181.121,182.823,178.032
0.035,4.447,4.097,4.097,181.054,182.811,178.148
0.036,4.588,4.056,4.056,180.987,182.805,178.272
0.038,4.735,4.014,4.014,180.921,182.805,178.404
0.039,4.888,3.974,3.974,180.855,182.809,178.542
0.040,5.045,3.937,3.937,180.790,182.815,178.685
0.042,5.205,3.904,3.904,180.727,182.824,178.831
0.043,5.367,3.876,3.876,180.665,182.833,178.981
0.044,5.531,3.852,3.852,180.606,182.841,179.133
