"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.449,2.449,164.801,150.944,183.832
0.001,0.250,2.597,2.597,164.795,150.783,183.641
0.003,0.498,2.745,2.745,164.790,150.623,183.452
0.004,0.742,2.892,2.892,164.785,150.464,183.266
0.006,0.982,3.039,3.039,164.781,150.308,183.084
0.007,1.215,3.186,3.186,164.778,150.155,182.907
0.008,1.441,3.332,3.332,164.776,150.007,182.738
0.010,1.656,3.477,3.477,164.777,149.863,182.578
0.011,1.860,3.621,3.621,164.779,149.726,182.427
0.012,2.051,3.762,3.762,164.783,149.595,182.288
0.014,2.227,3.897,3.897,164.790,149.472,182.162
0.015,2.388,4.024,4.024,164.800,149.357,182.050
0.017,2.531,4.140,4.140,164.814,149.252,181.954
0.018,2.656,4.242,4.242,164.830,149.156,181.874
0.019,2.765,4.328,4.328,164.850,149.070,181.812
0.021,2.859,4.394,4.394,164.872,148.990,181.767
0.022,2.943,4.439,4.439,164.898,148.915,181.738
0.023,3.021,4.466,4.466,164.925,148.844,181.725
0.025,3.097,4.475,4.475,164.955,148.773,181.727
0.026,3.177,4.469,4.469,164.986,148.702,181.744
0.028,3.264,4.447,4.447,165.018,148.628,181.775
0.029,3.361,4.413,4.413,165.052,148.549,181.821
0.030,3.470,4.368,4.368,165.086,148.463,181.879
0.032,3.594,4.312,4.312,165.120,148.369,181.951
0.033,3.733,4.252,4.252,165.154,148.263,182.036
0.035,3.889,4.189,4.189,165.188,148.146,182.132
0.036,4.060,4.130,4.130,165.221,148.016,182.238
0.037,4.242,4.076,4.076,165.253,147.876,182.351
0.039,4.430,4.034,4.034,165.281,147.729,182.466
0.040,4.621,4.006,4.006,165.307,147.579,182.579
0.041,4.808,3.996,3.996,165.328,147.427,182.687
0.043,4.988,4.003,4.003,165.344,147.277,182.785
0.044,5.158,4.021,4.021,165.355,147.131,182.870
0.046,5.312,4.046,4.046,165.358,146.992,182.938
0.047,5.450,4.073,4.073,165.355,146.863,182.985
0.048,5.569,4.097,4.097,165.343,146.746,183.007
0.050,5.672,4.113,4.113,165.322,146.645,183.000
0.051,5.769,4.117,4.117,165.291,146.563,182.961
0.052,5.874,4.108,4.108,165.250,146.499,182.887
0.054,5.997,4.088,4.088,165.200,146.452,182.785
0.055,6.140,4.061,4.061,165.142,146.417,182.659
0.057,6.299,4.030,4.030,165.076,146.392,182.516
0.058,6.471,3.999,3.999,165.006,146.371,182.361
0.059,6.650,3.971,3.971,164.931,146.352,182.200
0.061,6.830,3.948,3.948,164.852,146.331,182.039
0.062,7.008,3.934,3.934,164.771,146.305,181.883
0.064,7.178,3.928,3.928,164.689,146.269,181.738
0.065,7.337,3.929,3.929,164.608,146.220,181.611
0.066,7.485,3.937,3.937,164.528,146.155,181.506
0.068,7.624,3.951,3.951,164.450,146.069,181.429
0.069,7.762,3.971,3.971,164.375,145.960,181.385
0.070,7.911,3.994,3.994,164.305,145.830,181.371
0.072,8.075,4.022,4.022,164.238,145.681,181.384
0.073,8.254,4.051,4.051,164.174,145.517,181.417
0.075,8.447,4.078,4.078,164.113,145.341,181.467
0.076,8.650,4.102,4.102,164.056,145.156,181.529
0.077,8.861,4.120,4.120,164.002,144.964,181.598
0.079,9.075,4.129,4.129,163.951,144.769,181.670
0.080,9.288,4.125,4.125,163.902,144.574,181.739
0.081,9.495,4.108,4.108,163.857,144.382,181.802
0.083,9.693,4.078,4.078,163.814,144.196,181.854
0.084,9.879,4.040,4.040,163.773,144.018,181.890
0.086,10.049,3.999,3.999,163.735,143.853,181.905
0.087,10.207,3.959,3.959,163.699,143.699,181.899
0.088,10.358,3.928,3.928,163.665,143.555,181.872
0.090,10.507,3.908,3.908,163.632,143.418,181.824
0.091,10.658,3.906,3.906,163.600,143.286,181.756
0.093,10.817,3.924,3.924,163.569,143.157,181.668
0.094,10.986,3.961,3.961,163.538,143.030,181.562
0.095,11.168,4.016,4.016,163.507,142.901,181.438
0.097,11.364,4.085,4.085,163.476,142.768,181.296
0.098,11.577,4.168,4.168,163.444,142.630,181.137
0.099,11.807,4.261,4.261,163.411,142.484,180.962
0.101,12.056,4.364,4.364,163.377,142.328,180.772
0.102,12.324,4.473,4.473,163.340,142.161,180.566
0.104,12.610,4.588,4.588,163.303,141.981,180.347
0.105,12.910,4.708,4.708,163.263,141.791,180.118
0.106,13.218,4.830,4.830,163.224,141.596,179.883
0.108,13.530,4.954,4.954,163.184,141.397,179.645
0.109,13.842,5.078,5.078,163.145,141.198,179.409
0.110,14.148,5.202,5.202,163.107,141.002,179.177
0.112,14.444,5.323,5.323,163.071,140.811,178.954
0.113,14.725,5.441,5.441,163.038,140.629,178.742
0.115,14.986,5.553,5.553,163.008,140.459,178.546
0.116,15.223,5.657,5.657,162.981,140.303,178.370
0.117,15.431,5.753,5.753,162.958,140.165,178.216
0.119,15.605,5.836,5.836,162.941,140.048,178.089
0.120,15.742,5.907,5.907,162.928,139.953,177.990
0.122,15.846,5.963,5.963,162.921,139.880,177.917
0.123,15.919,6.004,6.004,162.917,139.825,177.868
0.124,15.968,6.031,6.031,162.917,139.786,177.840
0.126,15.995,6.047,6.047,162.919,139.761,177.828
0.127,16.009,6.055,6.055,162.923,139.748,177.831
0.128,16.025,6.056,6.056,162.929,139.745,177.845
0.130,16.048,6.053,6.053,162.936,139.748,177.867
0.131,16.077,6.049,6.049,162.943,139.757,177.894
0.133,16.109,6.045,6.045,162.949,139.768,177.924
0.134,16.140,6.042,6.042,162.954,139.779,177.952
0.135,16.167,6.041,6.041,162.957,139.788,177.977
0.137,16.185,6.040,6.040,162.958,139.793,177.994
0.138,16.197,6.041,6.041,162.956,139.794,178.006
0.140,16.204,6.042,6.042,162.952,139.791,178.011
0.141,16.212,6.045,6.045,162.946,139.785,178.011
0.142,16.224,6.049,6.049,162.939,139.777,178.006
0.144,16.240,6.055,6.055,162.931,139.766,177.998
0.145,16.259,6.061,6.061,162.922,139.753,177.987
0.146,16.280,6.067,6.067,162.912,139.740,177.974
0.148,16.303,6.073,6.073,162.901,139.726,177.960
0.149,16.325,6.079,6.079,162.891,139.711,177.946
0.151,16.348,6.085,6.085,162.881,139.698,177.932
0.152,16.368,6.089,6.089,162.871,139.685,177.919
0.153,16.386,6.092,6.092,162.863,139.674,177.908
0.155,16.401,6.095,6.095,162.855,139.664,177.899
0.156,16.414,6.096,6.096,162.848,139.656,177.892
0.157,16.425,6.097,6.097,162.842,139.649,177.887
0.159,16.434,6.098,6.098,162.836,139.643,177.883
0.160,16.442,6.098,6.098,162.831,139.637,177.880
0.162,16.448,6.098,6.098,162.827,139.633,177.878
0.163,16.454,6.099,6.099,162.823,139.628,177.877
0.164,16.460,6.100,6.100,162.820,139.624,177.875
0.166,16.465,6.101,6.101,162.817,139.620,177.874
0.167,16.470,6.102,6.103,162.814,139.616,177.872
0.169,16.477,6.104,6.105,162.812,139.611,177.869
0.170,16.484,6.107,6.107,162.810,139.605,177.865
