"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.850,2.850,205.000,225.672,196.349
0.001,0.154,2.886,2.886,205.142,225.645,196.294
0.002,0.308,2.923,2.923,205.283,225.619,196.238
0.004,0.463,2.962,2.962,205.424,225.594,196.182
0.005,0.617,3.002,3.002,205.566,225.570,196.124
0.006,0.773,3.046,3.046,205.708,225.549,196.064
0.007,0.929,3.094,3.094,205.851,225.530,196.003
0.008,1.087,3.147,3.147,205.993,225.515,195.939
0.009,1.246,3.204,3.204,206.137,225.503,195.871
0.011,1.406,3.269,3.269,206.281,225.496,195.800
0.012,1.569,3.339,3.339,206.426,225.493,195.726
0.013,1.735,3.414,3.414,206.571,225.496,195.646
0.014,1.904,3.493,3.493,206.717,225.505,195.562
0.015,2.076,3.574,3.574,206.865,225.521,195.473
0.017,2.253,3.657,3.657,207.012,225.543,195.379
0.018,2.432,3.740,3.740,207.159,225.571,195.281
0.019,2.611,3.823,3.823,207.304,225.604,195.181
0.020,2.790,3.903,3.903,207.446,225.642,195.080
0.021,2.966,3.980,3.980,207.584,225.684,194.979
0.022,3.137,4.053,4.053,207.716,225.729,194.879
0.024,3.302,4.121,4.121,207.842,225.776,194.783
0.025,3.459,4.183,4.183,207.959,225.825,194.691
0.026,3.606,4.238,4.238,208.067,225.875,194.605
0.027,3.742,4.286,4.286,208.165,225.925,194.525
0.028,3.864,4.324,4.324,208.252,225.975,194.454
0.030,3.972,4.353,4.353,208.325,226.023,194.392
0.031,4.063,4.371,4.371,208.385,226.070,194.342
0.032,4.140,4.380,4.380,208.431,226.115,194.301
0.033,4.205,4.379,4.379,208.466,226.159,194.268
0.034,4.261,4.373,4.373,208.491,226.202,194.241
0.035,4.312,4.363,4.363,208.508,226.243,194.217
0.037,4.360,4.351,4.351,208.519,226.284,194.195
0.038,4.406,4.339,4.339,208.525,226.325,194.173
0.039,4.454,4.329,4.329,208.527,226.366,194.149
0.040,4.504,4.324,4.324,208.529,226.407,194.120
0.041,4.559,4.326,4.326,208.530,226.449,194.085
0.043,4.620,4.334,4.334,208.533,226.492,194.041
0.044,4.690,4.348,4.348,208.540,226.536,193.987
0.045,4.772,4.367,4.367,208.552,226.581,193.920
0.046,4.867,4.390,4.390,208.571,226.628,193.840
0.047,4.974,4.417,4.417,208.595,226.677,193.747
0.048,5.091,4.446,4.446,208.624,226.726,193.646
0.050,5.215,4.477,4.477,208.658,226.776,193.537
0.051,5.343,4.509,4.509,208.694,226.825,193.424
0.052,5.474,4.542,4.542,208.733,226.874,193.309
0.053,5.604,4.574,4.574,208.773,226.921,193.195
0.054,5.731,4.606,4.606,208.813,226.967,193.083
0.055,5.853,4.635,4.635,208.853,227.011,192.977
0.057,5.966,4.662,4.662,208.892,227.051,192.879
0.058,6.069,4.685,4.685,208.928,227.089,192.791
0.059,6.158,4.705,4.705,208.962,227.123,192.715
0.060,6.231,4.720,4.720,208.991,227.153,192.655
