"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.370,2.370,210.561,240.290,217.241
0.002,0.314,2.475,2.475,210.768,240.446,217.420
0.003,0.627,2.583,2.583,210.973,240.601,217.597
0.005,0.935,2.697,2.697,211.175,240.754,217.773
0.006,1.237,2.819,2.819,211.373,240.905,217.944
0.008,1.531,2.952,2.952,211.564,241.054,218.110
0.009,1.815,3.099,3.099,211.749,241.199,218.270
0.011,2.087,3.261,3.261,211.925,241.339,218.421
0.013,2.344,3.435,3.435,212.091,241.475,218.564
0.014,2.586,3.608,3.608,212.245,241.605,218.697
0.016,2.809,3.769,3.769,212.386,241.729,218.818
0.017,3.013,3.908,3.908,212.513,241.846,218.926
0.019,3.194,4.012,4.012,212.624,241.955,219.020
0.021,3.352,4.071,4.071,212.717,242.056,219.098
0.022,3.486,4.082,4.082,212.792,242.147,219.160
0.024,3.595,4.055,4.055,212.848,242.230,219.205
0.025,3.685,4.006,4.006,212.887,242.304,219.236
0.027,3.758,3.947,3.947,212.911,242.371,219.253
0.028,3.820,3.892,3.892,212.921,242.432,219.260
0.030,3.874,3.856,3.856,212.919,242.487,219.257
0.032,3.927,3.849,3.849,212.907,242.536,219.247
0.033,3.979,3.870,3.870,212.886,242.581,219.230
0.035,4.034,3.909,3.909,212.858,242.623,219.210
0.036,4.090,3.960,3.960,212.825,242.663,219.187
0.038,4.148,4.013,4.013,212.787,242.700,219.163
0.040,4.207,4.062,4.062,212.748,242.737,219.140
0.041,4.264,4.097,4.097,212.708,242.773,219.120
0.043,4.320,4.117,4.117,212.669,242.810,219.105
0.044,4.374,4.125,4.125,212.632,242.849,219.095
0.046,4.427,4.126,4.126,212.599,242.889,219.089
0.047,4.481,4.123,4.123,212.568,242.934,219.088
0.049,4.538,4.121,4.121,212.540,242.983,219.089
0.051,4.598,4.122,4.122,212.516,243.037,219.091
0.052,4.663,4.131,4.131,212.495,243.099,219.093
0.054,4.734,4.146,4.146,212.477,243.168,219.094
0.055,4.813,4.166,4.166,212.463,243.246,219.093
0.057,4.902,4.191,4.191,212.454,243.334,219.088
0.059,5.001,4.218,4.218,212.448,243.433,219.078
0.060,5.113,4.246,4.246,212.447,243.544,219.063
0.062,5.239,4.275,4.275,212.450,243.668,219.041
0.063,5.381,4.304,4.304,212.458,243.806,219.011
0.065,5.539,4.336,4.336,212.470,243.959,218.971
0.066,5.714,4.372,4.372,212.487,244.126,218.923
0.068,5.900,4.413,4.413,212.509,244.302,218.868
0.070,6.096,4.461,4.461,212.534,244.486,218.807
0.071,6.296,4.518,4.518,212.563,244.674,218.742
0.073,6.499,4.583,4.583,212.595,244.863,218.676
0.074,6.699,4.652,4.652,212.629,245.049,218.609
0.076,6.895,4.720,4.720,212.666,245.229,218.543
0.078,7.081,4.782,4.782,212.705,245.400,218.480
0.079,7.256,4.836,4.836,212.746,245.559,218.421
0.081,7.415,4.876,4.876,212.788,245.703,218.369
0.082,7.554,4.898,4.898,212.831,245.828,218.324
0.084,7.672,4.906,4.906,212.874,245.932,218.288
0.085,7.765,4.905,4.905,212.917,246.011,218.264
0.087,7.834,4.897,4.897,212.960,246.063,218.251
0.089,7.885,4.889,4.889,213.001,246.093,218.247
0.090,7.924,4.885,4.885,213.038,246.103,218.252
0.092,7.959,4.888,4.888,213.071,246.099,218.262
0.093,7.993,4.900,4.900,213.098,246.082,218.276
0.095,8.028,4.917,4.917,213.117,246.059,218.292
0.097,8.061,4.937,4.937,213.127,246.031,218.308
0.098,8.092,4.956,4.956,213.127,246.003,218.321
0.100,8.121,4.970,4.970,213.115,245.978,218.330
0.101,8.151,4.978,4.978,213.090,245.962,218.333
0.103,8.192,4.977,4.977,213.050,245.956,218.327
0.104,8.251,4.968,4.968,212.994,245.965,218.311
0.106,8.335,4.952,4.952,212.921,245.994,218.283
0.108,8.448,4.931,4.931,212.829,246.044,218.241
0.109,8.589,4.905,4.905,212.720,246.116,218.186
0.111,8.755,4.876,4.876,212.597,246.207,218.121
0.112,8.941,4.846,4.846,212.464,246.316,218.049
0.114,9.143,4.816,4.816,212.324,246.439,217.973
0.116,9.356,4.788,4.788,212.179,246.575,217.895
0.117,9.576,4.762,4.762,212.033,246.720,217.819
0.119,9.798,4.742,4.742,211.890,246.874,217.747
0.120,10.018,4.727,4.727,211.751,247.032,217.682
0.122,10.233,4.721,4.721,211.621,247.194,217.626
0.123,10.439,4.722,4.722,211.503,247.356,217.583
0.125,10.632,4.727,4.727,211.399,247.517,217.556
0.127,10.811,4.735,4.735,211.313,247.674,217.546
0.128,10.976,4.741,4.741,211.248,247.825,217.557
0.130,11.129,4.742,4.742,211.205,247.968,217.591
0.131,11.279,4.736,4.736,211.183,248.106,217.644
0.133,11.431,4.721,4.721,211.179,248.241,217.714
0.134,11.590,4.698,4.698,211.193,248.374,217.800
0.136,11.758,4.670,4.670,211.222,248.507,217.898
0.138,11.937,4.639,4.639,211.264,248.643,218.007
0.139,12.127,4.609,4.609,211.318,248.783,218.124
0.141,12.327,4.582,4.582,211.381,248.928,218.247
0.142,12.539,4.561,4.561,211.452,249.082,218.373
0.144,12.760,4.545,4.545,211.530,249.245,218.500
0.146,12.990,4.532,4.532,211.611,249.420,218.627
0.147,13.230,4.523,4.523,211.694,249.608,218.750
0.149,13.480,4.514,4.514,211.779,249.812,218.867
0.150,13.740,4.503,4.503,211.862,250.033,218.976
