"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.859,2.859,-24.756,116.789,162.320
0.001,0.031,2.863,2.863,-24.750,116.819,162.319
0.003,0.063,2.867,2.867,-24.742,116.851,162.318
0.004,0.098,2.873,2.873,-24.732,116.884,162.316
0.005,0.138,2.882,2.882,-24.717,116.921,162.313
0.007,0.185,2.895,2.895,-24.698,116.963,162.308
0.008,0.239,2.914,2.914,-24.672,117.011,162.302
0.009,0.304,2.938,2.938,-24.638,117.066,162.292
0.011,0.381,2.970,2.970,-24.596,117.129,162.280
0.012,0.472,3.009,3.009,-24.543,117.201,162.265
0.013,0.579,3.057,3.057,-24.478,117.284,162.246
0.015,0.704,3.114,3.114,-24.400,117.378,162.223
0.016,0.847,3.180,3.180,-24.308,117.485,162.195
0.017,1.011,3.256,3.256,-24.202,117.605,162.164
0.019,1.189,3.342,3.342,-24.085,117.735,162.128
0.020,1.380,3.439,3.439,-23.958,117.872,162.091
0.021,1.578,3.546,3.546,-23.826,118.015,162.051
0.023,1.781,3.662,3.662,-23.691,118.160,162.012
0.024,1.983,3.781,3.781,-23.555,118.306,161.973
0.025,2.183,3.902,3.902,-23.421,118.448,161.936
0.027,2.374,4.019,4.019,-23.292,118.586,161.901
0.028,2.555,4.129,4.129,-23.171,118.716,161.870
0.029,2.720,4.229,4.229,-23.060,118.836,161.843
0.031,2.867,4.314,4.314,-22.962,118.943,161.822
0.032,2.991,4.385,4.385,-22.880,119.035,161.807
0.034,3.093,4.441,4.441,-22.814,119.113,161.799
0.035,3.176,4.485,4.485,-22.762,119.177,161.797
0.036,3.242,4.520,4.520,-22.724,119.231,161.801
0.038,3.294,4.546,4.546,-22.698,119.275,161.809
0.039,3.336,4.565,4.565,-22.684,119.313,161.823
0.040,3.373,4.580,4.580,-22.679,119.345,161.840
0.042,3.409,4.592,4.592,-22.683,119.373,161.862
0.043,3.447,4.602,4.602,-22.694,119.400,161.886
0.044,3.490,4.610,4.610,-22.712,119.428,161.914
0.046,3.538,4.619,4.619,-22.735,119.458,161.943
0.047,3.591,4.628,4.628,-22.762,119.491,161.975
0.048,3.651,4.639,4.639,-22.792,119.531,162.008
0.050,3.716,4.652,4.652,-22.823,119.576,162.042
0.051,3.785,4.668,4.668,-22.853,119.627,162.079
0.052,3.860,4.688,4.688,-22.882,119.682,162.119
0.054,3.938,4.712,4.712,-22.907,119.743,162.162
0.055,4.021,4.740,4.740,-22.927,119.808,162.208
0.056,4.108,4.772,4.772,-22.941,119.878,162.258
0.058,4.200,4.808,4.808,-22.946,119.952,162.313
0.059,4.298,4.849,4.849,-22.942,120.030,162.373
0.060,4.403,4.895,4.895,-22.926,120.112,162.437
0.062,4.518,4.946,4.946,-22.897,120.197,162.508
0.063,4.642,5.001,5.001,-22.854,120.285,162.584
0.064,4.777,5.059,5.059,-22.797,120.376,162.666
0.066,4.921,5.118,5.118,-22.727,120.468,162.753
0.067,5.072,5.176,5.176,-22.648,120.561,162.842
0.068,5.227,5.234,5.234,-22.561,120.652,162.932
0.070,5.383,5.289,5.289,-22.470,120.741,163.021
0.071,5.537,5.339,5.339,-22.376,120.826,163.109
0.072,5.686,5.385,5.385,-22.282,120.907,163.192
0.074,5.828,5.426,5.426,-22.190,120.981,163.271
0.075,5.960,5.462,5.462,-22.103,121.048,163.342
0.076,6.077,5.493,5.493,-22.023,121.107,163.405
0.078,6.179,5.520,5.520,-21.952,121.157,163.459
0.079,6.260,5.542,5.542,-21.893,121.195,163.500
0.080,6.324,5.560,5.560,-21.846,121.223,163.531
0.082,6.371,5.574,5.574,-21.808,121.242,163.553
0.083,6.406,5.584,5.584,-21.778,121.254,163.566
0.084,6.430,5.592,5.592,-21.754,121.258,163.572
0.086,6.449,5.598,5.598,-21.735,121.256,163.574
0.087,6.467,5.603,5.603,-21.719,121.250,163.572
0.088,6.485,5.608,5.608,-21.704,121.241,163.567
0.090,6.504,5.613,5.613,-21.689,121.230,163.562
0.091,6.526,5.620,5.620,-21.672,121.218,163.557
0.092,6.551,5.629,5.629,-21.650,121.206,163.555
0.094,6.580,5.640,5.640,-21.624,121.195,163.556
0.095,6.614,5.652,5.652,-21.590,121.187,163.562
0.097,6.655,5.665,5.665,-21.551,121.181,163.571
0.098,6.700,5.677,5.677,-21.508,121.177,163.583
0.099,6.748,5.689,5.689,-21.462,121.175,163.597
0.101,6.798,5.701,5.701,-21.414,121.175,163.612
0.102,6.848,5.710,5.710,-21.367,121.176,163.626
0.103,6.896,5.718,5.718,-21.321,121.178,163.639
0.105,6.940,5.723,5.723,-21.277,121.181,163.649
0.106,6.980,5.726,5.726,-21.238,121.185,163.656
0.107,7.014,5.726,5.726,-21.205,121.189,163.658
0.109,7.041,5.723,5.723,-21.178,121.193,163.654
0.110,7.063,5.716,5.716,-21.160,121.198,163.644
0.111,7.082,5.705,5.705,-21.150,121.202,163.628
0.113,7.103,5.690,5.690,-21.147,121.206,163.607
0.114,7.126,5.673,5.673,-21.149,121.209,163.585
0.115,7.148,5.656,5.656,-21.155,121.212,163.564
0.117,7.168,5.639,5.639,-21.162,121.214,163.545
0.118,7.183,5.626,5.626,-21.170,121.216,163.532
0.119,7.191,5.616,5.616,-21.175,121.217,163.527
0.121,7.197,5.613,5.613,-21.178,121.216,163.532
0.122,7.214,5.618,5.618,-21.176,121.215,163.549
0.123,7.248,5.630,5.630,-21.166,121.213,163.582
0.125,7.301,5.645,5.645,-21.149,121.209,163.631
0.126,7.375,5.662,5.662,-21.122,121.204,163.700
0.127,7.469,5.676,5.676,-21.084,121.198,163.786
0.129,7.580,5.686,5.686,-21.038,121.194,163.887
0.130,7.704,5.687,5.687,-20.983,121.193,163.998
0.131,7.838,5.678,5.678,-20.920,121.196,164.117
0.133,7.980,5.655,5.655,-20.849,121.205,164.239
0.134,8.126,5.621,5.621,-20.773,121.221,164.362
0.135,8.273,5.579,5.579,-20.690,121.247,164.482
0.137,8.421,5.529,5.529,-20.603,121.283,164.595
0.138,8.568,5.475,5.475,-20.511,121.331,164.699
0.139,8.713,5.420,5.420,-20.415,121.393,164.789
0.141,8.859,5.364,5.364,-20.316,121.470,164.863
0.142,9.007,5.312,5.312,-20.215,121.563,164.918
0.143,9.162,5.263,5.263,-20.110,121.669,164.958
0.145,9.325,5.218,5.218,-20.000,121.787,164.985
0.146,9.497,5.175,5.175,-19.885,121.914,165.004
0.147,9.678,5.134,5.134,-19.763,122.047,165.019
0.149,9.867,5.095,5.095,-19.634,122.184,165.033
0.150,10.063,5.057,5.057,-19.496,122.323,165.051
0.151,10.266,5.020,5.020,-19.348,122.460,165.075
0.153,10.476,4.982,4.982,-19.190,122.593,165.109
0.154,10.694,4.947,4.947,-19.020,122.720,165.158
0.155,10.922,4.915,4.915,-18.837,122.837,165.225
0.157,11.162,4.887,4.887,-18.640,122.944,165.314
0.158,11.418,4.866,4.866,-18.430,123.038,165.424
0.160,11.686,4.853,4.853,-18.211,123.122,165.554
0.161,11.964,4.849,4.849,-17.984,123.195,165.698
0.162,12.249,4.857,4.857,-17.754,123.258,165.853
0.164,12.537,4.876,4.876,-17.523,123.314,166.016
0.165,12.824,4.904,4.904,-17.294,123.362,166.183
0.166,13.106,4.939,4.939,-17.071,123.405,166.349
0.168,13.378,4.979,4.979,-16.856,123.442,166.512
0.169,13.636,5.023,5.023,-16.653,123.476,166.668
0.170,13.875,5.068,5.068,-16.465,123.507,166.812
0.172,14.091,5.112,5.112,-16.294,123.535,166.942
0.173,14.280,5.153,5.153,-16.144,123.563,167.053
0.174,14.443,5.193,5.193,-16.014,123.591,167.147
0.176,14.583,5.229,5.229,-15.900,123.619,167.223
0.177,14.702,5.264,5.264,-15.802,123.647,167.285
0.178,14.805,5.298,5.298,-15.716,123.677,167.332
0.180,14.894,5.330,5.330,-15.640,123.707,167.368
0.181,14.974,5.362,5.362,-15.572,123.739,167.393
0.182,15.047,5.393,5.393,-15.508,123.773,167.409
0.184,15.118,5.425,5.425,-15.448,123.809,167.417
0.185,15.190,5.456,5.456,-15.388,123.849,167.418
0.186,15.265,5.486,5.486,-15.326,123.891,167.415
0.188,15.346,5.517,5.517,-15.259,123.936,167.409
0.189,15.434,5.548,5.548,-15.186,123.986,167.401
0.190,15.528,5.578,5.578,-15.108,124.038,167.392
0.192,15.628,5.609,5.609,-15.026,124.093,167.382
0.193,15.730,5.639,5.639,-14.941,124.150,167.372
0.194,15.836,5.669,5.669,-14.854,124.207,167.362
0.196,15.942,5.698,5.698,-14.766,124.266,167.353
0.197,16.047,5.726,5.726,-14.678,124.324,167.346
0.198,16.151,5.753,5.753,-14.592,124.382,167.341
0.200,16.252,5.779,5.779,-14.508,124.439,167.338
0.201,16.349,5.802,5.802,-14.428,124.493,167.338
0.202,16.441,5.824,5.824,-14.353,124.545,167.342
0.204,16.526,5.844,5.844,-14.284,124.594,167.351
0.205,16.605,5.862,5.862,-14.221,124.640,167.363
0.206,16.678,5.878,5.878,-14.163,124.682,167.379
0.208,16.745,5.894,5.894,-14.111,124.721,167.398
0.209,16.808,5.909,5.909,-14.064,124.758,167.418
0.210,16.867,5.923,5.923,-14.021,124.791,167.439
0.212,16.921,5.938,5.938,-13.983,124.823,167.460
0.213,16.971,5.952,5.952,-13.947,124.852,167.481
0.214,17.018,5.967,5.968,-13.914,124.878,167.500
0.216,17.061,5.982,5.982,-13.884,124.903,167.517
0.217,17.100,5.996,5.997,-13.856,124.927,167.531
0.218,17.136,6.010,6.010,-13.829,124.948,167.541
0.220,17.169,6.022,6.022,-13.803,124.969,167.547
0.221,17.202,6.032,6.032,-13.777,124.989,167.548
0.223,17.234,6.040,6.040,-13.752,125.009,167.546
0.224,17.267,6.047,6.046,-13.728,125.031,167.542
0.225,17.301,6.051,6.050,-13.703,125.054,167.537
0.227,17.338,6.055,6.053,-13.679,125.081,167.531
0.228,17.379,6.057,6.056,-13.654,125.113,167.526
0.229,17.423,6.060,6.059,-13.628,125.149,167.522
0.231,17.473,6.063,6.062,-13.602,125.191,167.520
0.232,17.529,6.067,6.067,-13.575,125.240,167.521
0.233,17.594,6.072,6.073,-13.546,125.298,167.526
0.235,17.667,6.079,6.081,-13.516,125.364,167.536
0.236,17.749,6.086,6.090,-13.485,125.439,167.551
0.237,17.840,6.092,6.100,-13.453,125.521,167.571
0.239,17.936,6.098,6.108,-13.420,125.609,167.594
0.240,18.037,6.101,6.116,-13.388,125.701,167.619
0.241,18.139,6.103,6.122,-13.356,125.794,167.645
0.243,18.240,6.101,6.126,-13.324,125.887,167.671
0.244,18.339,6.096,6.127,-13.294,125.978,167.695
0.245,18.433,6.089,6.126,-13.266,126.064,167.717
0.247,18.520,6.079,6.123,-13.240,126.145,167.736
0.248,18.597,6.070,6.118,-13.218,126.218,167.750
0.249,18.664,6.060,6.114,-13.198,126.281,167.758
