"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.976,2.976,-68.123,-49.762,-0.783
0.001,0.162,3.070,3.070,-68.033,-49.720,-0.656
0.003,0.322,3.162,3.162,-67.942,-49.678,-0.530
0.004,0.480,3.253,3.253,-67.853,-49.637,-0.406
0.005,0.635,3.341,3.341,-67.766,-49.598,-0.284
0.006,0.785,3.426,3.426,-67.680,-49.561,-0.167
0.008,0.930,3.507,3.507,-67.597,-49.525,-0.053
0.009,1.068,3.582,3.582,-67.518,-49.493,0.055
0.010,1.198,3.651,3.651,-67.443,-49.464,0.156
0.012,1.319,3.714,3.714,-67.371,-49.439,0.251
0.013,1.429,3.770,3.770,-67.305,-49.417,0.337
0.014,1.529,3.819,3.819,-67.244,-49.401,0.414
0.015,1.617,3.862,3.862,-67.189,-49.389,0.482
0.017,1.692,3.898,3.898,-67.141,-49.383,0.539
0.018,1.756,3.928,3.928,-67.098,-49.381,0.586
0.019,1.808,3.951,3.951,-67.062,-49.383,0.624
0.020,1.851,3.968,3.968,-67.030,-49.388,0.653
0.022,1.886,3.980,3.980,-67.004,-49.394,0.674
0.023,1.912,3.986,3.986,-66.983,-49.401,0.688
0.024,1.932,3.988,3.988,-66.966,-49.409,0.695
0.026,1.946,3.987,3.987,-66.953,-49.415,0.696
0.027,1.957,3.983,3.983,-66.945,-49.420,0.692
0.028,1.967,3.979,3.979,-66.939,-49.422,0.683
0.029,1.981,3.974,3.974,-66.937,-49.420,0.670
0.031,1.999,3.970,3.970,-66.938,-49.414,0.653
0.032,2.021,3.967,3.967,-66.941,-49.403,0.634
0.033,2.045,3.966,3.966,-66.944,-49.390,0.614
0.035,2.068,3.964,3.964,-66.946,-49.377,0.595
0.036,2.088,3.964,3.964,-66.945,-49.365,0.579
0.037,2.103,3.963,3.963,-66.939,-49.356,0.568
0.038,2.116,3.962,3.962,-66.928,-49.353,0.564
0.040,2.137,3.960,3.960,-66.908,-49.358,0.567
0.041,2.172,3.957,3.957,-66.879,-49.372,0.581
0.042,2.226,3.954,3.954,-66.838,-49.397,0.607
0.043,2.304,3.952,3.952,-66.784,-49.436,0.646
0.045,2.407,3.952,3.952,-66.716,-49.491,0.701
0.046,2.539,3.956,3.956,-66.631,-49.563,0.773
0.047,2.700,3.965,3.965,-66.531,-49.652,0.862
0.049,2.886,3.981,3.981,-66.418,-49.756,0.966
0.050,3.090,4.005,4.005,-66.296,-49.872,1.081
0.051,3.308,4.039,4.039,-66.167,-49.997,1.206
0.052,3.535,4.082,4.082,-66.036,-50.128,1.337
0.054,3.767,4.133,4.133,-65.904,-50.262,1.472
0.055,3.998,4.188,4.188,-65.776,-50.398,1.608
0.056,4.224,4.247,4.247,-65.654,-50.531,1.744
0.058,4.439,4.306,4.306,-65.542,-50.660,1.875
0.059,4.639,4.364,4.364,-65.443,-50.781,2.000
0.060,4.819,4.418,4.418,-65.360,-50.891,2.115
0.061,4.976,4.466,4.466,-65.296,-50.989,2.219
0.063,5.108,4.508,4.508,-65.251,-51.073,2.311
0.064,5.219,4.544,4.544,-65.222,-51.145,2.391
0.065,5.312,4.575,4.575,-65.209,-51.205,2.460
0.066,5.390,4.600,4.600,-65.207,-51.255,2.520
0.068,5.455,4.619,4.619,-65.215,-51.295,2.570
0.069,5.510,4.635,4.635,-65.231,-51.328,2.613
0.070,5.558,4.646,4.646,-65.251,-51.352,2.648
0.072,5.599,4.653,4.653,-65.275,-51.371,2.676
0.073,5.635,4.656,4.656,-65.299,-51.385,2.699
0.074,5.665,4.657,4.657,-65.321,-51.394,2.716
0.075,5.689,4.656,4.656,-65.339,-51.401,2.730
0.077,5.705,4.653,4.653,-65.351,-51.405,2.741
0.078,5.715,4.650,4.650,-65.356,-51.408,2.748
0.079,5.721,4.646,4.646,-65.356,-51.410,2.754
0.081,5.728,4.644,4.644,-65.350,-51.410,2.757
0.082,5.738,4.642,4.642,-65.339,-51.409,2.760
0.083,5.753,4.642,4.642,-65.325,-51.408,2.761
0.084,5.771,4.643,4.643,-65.307,-51.406,2.762
0.086,5.792,4.645,4.645,-65.286,-51.404,2.762
0.087,5.815,4.648,4.648,-65.263,-51.402,2.763
0.088,5.839,4.652,4.652,-65.240,-51.400,2.765
0.090,5.864,4.656,4.656,-65.215,-51.398,2.767
0.091,5.889,4.661,4.661,-65.190,-51.397,2.772
0.092,5.914,4.666,4.666,-65.166,-51.396,2.778
0.093,5.939,4.671,4.671,-65.142,-51.396,2.787
0.095,5.963,4.676,4.676,-65.120,-51.396,2.796
0.096,5.987,4.679,4.679,-65.099,-51.396,2.807
0.097,6.010,4.680,4.680,-65.079,-51.396,2.818
0.098,6.032,4.680,4.680,-65.060,-51.395,2.830
0.100,6.052,4.677,4.677,-65.043,-51.394,2.841
0.101,6.071,4.670,4.670,-65.028,-51.391,2.853
0.102,6.088,4.660,4.660,-65.016,-51.386,2.863
0.104,6.104,4.648,4.648,-65.005,-51.380,2.873
0.105,6.118,4.635,4.635,-64.997,-51.372,2.881
0.106,6.131,4.621,4.621,-64.991,-51.362,2.887
0.107,6.144,4.609,4.609,-64.988,-51.350,2.891
0.109,6.159,4.600,4.600,-64.987,-51.336,2.894
0.110,6.173,4.595,4.595,-64.986,-51.322,2.895
0.111,6.186,4.595,4.595,-64.985,-51.309,2.897
0.113,6.197,4.600,4.600,-64.982,-51.298,2.899
0.114,6.206,4.609,4.609,-64.977,-51.291,2.902
0.115,6.216,4.620,4.620,-64.968,-51.288,2.907
0.116,6.232,4.630,4.630,-64.955,-51.292,2.913
0.118,6.255,4.637,4.637,-64.937,-51.302,2.923
0.119,6.289,4.639,4.639,-64.911,-51.320,2.936
0.120,6.336,4.633,4.633,-64.878,-51.348,2.954
0.121,6.397,4.617,4.617,-64.836,-51.386,2.976
0.123,6.473,4.591,4.591,-64.785,-51.436,3.003
0.124,6.563,4.555,4.555,-64.726,-51.497,3.034
0.125,6.668,4.514,4.514,-64.660,-51.569,3.070
0.127,6.785,4.468,4.468,-64.587,-51.652,3.109
0.128,6.914,4.421,4.421,-64.510,-51.746,3.152
0.129,7.054,4.375,4.375,-64.428,-51.851,3.197
0.130,7.204,4.332,4.332,-64.344,-51.967,3.244
0.132,7.364,4.295,4.295,-64.258,-52.093,3.292
0.133,7.533,4.265,4.265,-64.172,-52.229,3.342
0.134,7.711,4.243,4.243,-64.085,-52.375,3.392
0.136,7.896,4.227,4.227,-64.000,-52.532,3.442
0.137,8.088,4.217,4.217,-63.918,-52.699,3.492
0.138,8.287,4.214,4.214,-63.839,-52.874,3.541
0.139,8.491,4.217,4.217,-63.762,-53.057,3.588
0.141,8.699,4.226,4.226,-63.688,-53.246,3.635
0.142,8.909,4.240,4.240,-63.617,-53.438,3.679
0.143,9.120,4.259,4.259,-63.547,-53.633,3.721
0.145,9.330,4.283,4.283,-63.479,-53.828,3.761
0.146,9.538,4.309,4.309,-63.412,-54.021,3.798
0.147,9.741,4.338,4.338,-63.346,-54.211,3.832
0.148,9.940,4.368,4.368,-63.281,-54.395,3.863
0.150,10.131,4.399,4.398,-63.217,-54.573,3.891
0.151,10.313,4.429,4.429,-63.153,-54.742,3.914
0.152,10.485,4.458,4.458,-63.088,-54.901,3.934
0.153,10.647,4.485,4.485,-63.024,-55.048,3.949
0.155,10.798,4.509,4.510,-62.960,-55.185,3.961
0.156,10.939,4.531,4.532,-62.897,-55.311,3.970
0.157,11.070,4.550,4.551,-62.836,-55.426,3.977
0.159,11.191,4.565,4.566,-62.776,-55.532,3.981
0.160,11.303,4.576,4.576,-62.719,-55.628,3.983
0.161,11.405,4.582,4.583,-62.665,-55.714,3.985
0.162,11.498,4.584,4.584,-62.614,-55.791,3.986
0.164,11.581,4.582,4.581,-62.567,-55.860,3.986
0.165,11.654,4.576,4.574,-62.525,-55.920,3.987
0.166,11.719,4.569,4.566,-62.487,-55.972,3.989
0.168,11.773,4.561,4.558,-62.454,-56.016,3.992
0.169,11.821,4.553,4.550,-62.425,-56.053,3.998
0.170,11.864,4.546,4.544,-62.398,-56.085,4.009
0.171,11.907,4.543,4.542,-62.369,-56.112,4.025
0.173,11.954,4.543,4.545,-62.338,-56.137,4.050
0.174,12.010,4.547,4.552,-62.301,-56.160,4.086
0.175,12.079,4.558,4.566,-62.256,-56.184,4.133
0.176,12.165,4.574,4.585,-62.200,-56.208,4.193
0.178,12.271,4.598,4.610,-62.132,-56.236,4.270
0.179,12.401,4.630,4.641,-62.049,-56.267,4.364
0.180,12.557,4.670,4.678,-61.948,-56.304,4.477
0.182,12.743,4.720,4.722,-61.827,-56.348,4.612
0.183,12.961,4.780,4.772,-61.685,-56.399,4.769
0.184,13.208,4.848,4.829,-61.523,-56.458,4.947
0.185,13.478,4.923,4.892,-61.346,-56.520,5.141
0.187,13.765,5.002,4.962,-61.158,-56.585,5.348
0.188,14.064,5.083,5.039,-60.963,-56.650,5.564
0.189,14.368,5.163,5.123,-60.765,-56.713,5.786
0.191,14.671,5.240,5.213,-60.568,-56.770,6.009
0.192,14.968,5.313,5.310,-60.377,-56.822,6.230
0.193,15.254,5.378,5.414,-60.194,-56.864,6.446
0.194,15.522,5.437,5.520,-60.025,-56.895,6.652
0.196,15.769,5.490,5.627,-59.873,-56.912,6.845
0.197,15.988,5.538,5.729,-59.743,-56.914,7.021
0.198,16.177,5.582,5.823,-59.638,-56.898,7.178
0.199,16.339,5.623,5.906,-59.555,-56.867,7.314
0.201,16.479,5.662,5.973,-59.494,-56.823,7.432
0.202,16.602,5.700,6.021,-59.451,-56.768,7.533
0.203,16.711,5.738,6.048,-59.424,-56.705,7.617
