"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,3.390,3.390,-21.609,117.164,162.158
0.001,0.038,3.366,3.366,-21.618,117.131,162.142
0.003,0.075,3.343,3.343,-21.626,117.098,162.125
0.004,0.113,3.321,3.321,-21.634,117.067,162.107
0.005,0.150,3.302,3.302,-21.643,117.037,162.086
0.006,0.187,3.287,3.287,-21.651,117.009,162.063
0.008,0.225,3.275,3.275,-21.659,116.984,162.036
0.009,0.264,3.268,3.268,-21.667,116.962,162.005
0.010,0.306,3.268,3.268,-21.676,116.944,161.968
0.012,0.351,3.273,3.273,-21.684,116.930,161.926
0.013,0.401,3.285,3.285,-21.692,116.920,161.877
0.014,0.458,3.302,3.302,-21.700,116.916,161.820
0.016,0.523,3.325,3.325,-21.707,116.918,161.756
0.017,0.594,3.353,3.353,-21.715,116.925,161.686
0.018,0.671,3.385,3.385,-21.722,116.938,161.610
0.019,0.752,3.422,3.422,-21.729,116.954,161.532
0.021,0.834,3.463,3.463,-21.736,116.975,161.452
0.022,0.917,3.508,3.508,-21.741,116.999,161.373
0.023,0.998,3.555,3.555,-21.746,117.027,161.297
0.025,1.076,3.603,3.603,-21.750,117.056,161.225
0.026,1.149,3.651,3.651,-21.753,117.088,161.160
0.027,1.215,3.697,3.697,-21.754,117.121,161.102
0.029,1.273,3.741,3.741,-21.755,117.155,161.055
0.030,1.323,3.782,3.782,-21.754,117.190,161.019
0.031,1.365,3.818,3.818,-21.751,117.224,160.995
0.032,1.402,3.849,3.849,-21.748,117.258,160.980
0.034,1.436,3.875,3.875,-21.743,117.291,160.974
0.035,1.468,3.897,3.897,-21.738,117.322,160.974
0.036,1.497,3.915,3.915,-21.733,117.351,160.979
0.038,1.525,3.930,3.930,-21.727,117.377,160.987
0.039,1.551,3.941,3.941,-21.722,117.400,160.996
0.040,1.572,3.950,3.950,-21.716,117.419,161.005
0.042,1.589,3.955,3.955,-21.712,117.433,161.012
0.043,1.600,3.959,3.959,-21.707,117.443,161.016
0.044,1.606,3.961,3.961,-21.704,117.447,161.015
0.045,1.613,3.962,3.962,-21.702,117.446,161.008
0.047,1.624,3.961,3.961,-21.700,117.442,160.998
0.048,1.637,3.960,3.960,-21.699,117.435,160.987
0.049,1.650,3.958,3.958,-21.699,117.428,160.976
0.051,1.661,3.957,3.957,-21.698,117.422,160.967
0.052,1.667,3.955,3.955,-21.698,117.418,160.962
0.053,1.668,3.955,3.955,-21.698,117.419,160.962
0.054,1.678,3.956,3.956,-21.698,117.425,160.970
0.056,1.699,3.959,3.959,-21.698,117.437,160.988
0.057,1.735,3.965,3.965,-21.697,117.458,161.016
0.058,1.786,3.974,3.974,-21.695,117.490,161.057
0.060,1.855,3.986,3.986,-21.692,117.531,161.112
0.061,1.939,4.004,4.004,-21.688,117.582,161.178
0.062,2.035,4.026,4.026,-21.681,117.640,161.254
0.064,2.140,4.051,4.051,-21.671,117.704,161.337
0.065,2.253,4.078,4.078,-21.656,117.773,161.426
0.066,2.372,4.106,4.106,-21.636,117.845,161.518
0.067,2.494,4.135,4.135,-21.611,117.919,161.611
0.069,2.616,4.161,4.161,-21.579,117.993,161.704
0.070,2.739,4.185,4.185,-21.540,118.065,161.794
0.071,2.858,4.206,4.206,-21.492,118.135,161.879
0.073,2.975,4.222,4.222,-21.436,118.201,161.958
0.074,3.089,4.236,4.236,-21.370,118.261,162.028
0.075,3.200,4.250,4.250,-21.298,118.317,162.092
0.077,3.311,4.263,4.263,-21.221,118.371,162.150
0.078,3.421,4.278,4.278,-21.141,118.423,162.205
0.079,3.529,4.296,4.296,-21.062,118.476,162.258
0.080,3.637,4.318,4.318,-20.985,118.530,162.310
0.082,3.743,4.346,4.346,-20.913,118.586,162.363
0.083,3.848,4.379,4.379,-20.847,118.647,162.418
0.084,3.954,4.417,4.417,-20.791,118.713,162.478
0.086,4.061,4.460,4.460,-20.747,118.787,162.544
0.087,4.175,4.507,4.507,-20.717,118.868,162.616
0.088,4.297,4.557,4.557,-20.702,118.959,162.698
0.089,4.429,4.610,4.610,-20.701,119.057,162.785
0.091,4.569,4.665,4.665,-20.711,119.162,162.878
0.092,4.714,4.722,4.722,-20.728,119.271,162.972
0.093,4.862,4.778,4.778,-20.751,119.382,163.066
0.095,5.008,4.833,4.833,-20.776,119.494,163.157
0.096,5.151,4.884,4.884,-20.799,119.605,163.243
0.097,5.286,4.930,4.930,-20.820,119.712,163.323
0.099,5.410,4.969,4.969,-20.833,119.815,163.392
0.100,5.523,4.999,4.999,-20.837,119.911,163.450
0.101,5.621,5.019,5.019,-20.828,119.998,163.494
0.102,5.706,5.027,5.027,-20.804,120.076,163.521
0.104,5.784,5.026,5.026,-20.766,120.143,163.533
0.105,5.862,5.018,5.018,-20.715,120.201,163.533
0.106,5.942,5.005,5.005,-20.654,120.251,163.524
0.108,6.026,4.989,4.989,-20.583,120.294,163.507
0.109,6.115,4.973,4.973,-20.505,120.332,163.485
0.110,6.207,4.960,4.960,-20.422,120.364,163.462
0.112,6.301,4.950,4.950,-20.335,120.392,163.439
0.113,6.395,4.947,4.947,-20.247,120.416,163.419
0.114,6.487,4.948,4.948,-20.159,120.439,163.406
0.115,6.575,4.952,4.952,-20.074,120.461,163.400
0.117,6.660,4.960,4.960,-19.992,120.483,163.406
0.118,6.741,4.969,4.969,-19.915,120.504,163.422
0.119,6.818,4.980,4.980,-19.845,120.526,163.444
0.121,6.890,4.990,4.990,-19.781,120.548,163.470
0.122,6.956,4.999,4.999,-19.725,120.570,163.496
0.123,7.013,5.006,5.006,-19.677,120.592,163.519
0.125,7.060,5.010,5.010,-19.639,120.613,163.536
0.126,7.096,5.010,5.010,-19.610,120.634,163.543
0.127,7.125,5.004,5.004,-19.592,120.655,163.536
0.128,7.156,4.991,4.992,-19.585,120.675,163.513
0.130,7.203,4.971,4.971,-19.591,120.694,163.471
0.131,7.273,4.942,4.942,-19.610,120.712,163.405
0.132,7.366,4.903,4.903,-19.639,120.730,163.319
0.134,7.471,4.855,4.854,-19.673,120.751,163.222
0.135,7.578,4.799,4.798,-19.704,120.775,163.123
0.136,7.677,4.737,4.736,-19.728,120.804,163.031
0.137,7.762,4.670,4.669,-19.738,120.841,162.955
0.139,7.830,4.601,4.600,-19.727,120.888,162.906
0.140,7.900,4.529,4.529,-19.690,120.946,162.893
0.141,8.005,4.458,4.458,-19.620,121.017,162.925
0.143,8.169,4.389,4.390,-19.510,121.103,163.011
0.144,8.408,4.325,4.328,-19.355,121.206,163.161
0.145,8.736,4.272,4.276,-19.148,121.328,163.384
0.147,9.155,4.234,4.239,-18.888,121.469,163.682
0.148,9.652,4.216,4.221,-18.584,121.626,164.042
0.149,10.211,4.223,4.227,-18.244,121.797,164.451
0.150,10.813,4.258,4.260,-17.878,121.978,164.893
0.152,11.442,4.326,4.326,-17.495,122.167,165.356
0.153,12.082,4.430,4.424,-17.104,122.360,165.824
0.154,12.715,4.561,4.550,-16.714,122.554,166.284
0.156,13.325,4.711,4.695,-16.335,122.746,166.721
0.157,13.895,4.872,4.853,-15.976,122.934,167.121
0.158,14.409,5.036,5.017,-15.646,123.114,167.471
0.160,14.850,5.194,5.178,-15.354,123.283,167.756
0.161,15.210,5.339,5.331,-15.107,123.439,167.966
0.162,15.498,5.461,5.468,-14.902,123.581,168.108
0.163,15.724,5.559,5.584,-14.735,123.710,168.191
0.165,15.903,5.634,5.682,-14.602,123.826,168.222
0.166,16.048,5.690,5.762,-14.500,123.929,168.212
