"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.036,2.036,299.295,283.076,275.473
0.001,0.519,2.175,2.175,299.250,282.974,275.980
0.003,1.033,2.312,2.312,299.206,282.872,276.482
0.004,1.535,2.443,2.443,299.165,282.773,276.973
0.006,2.020,2.567,2.567,299.128,282.677,277.447
0.007,2.483,2.681,2.681,299.097,282.586,277.899
0.008,2.916,2.782,2.782,299.073,282.501,278.323
0.010,3.315,2.869,2.869,299.057,282.422,278.714
0.011,3.675,2.938,2.938,299.052,282.351,279.067
0.013,3.990,2.993,2.993,299.058,282.289,279.375
0.014,4.254,3.038,3.038,299.077,282.237,279.634
0.016,4.464,3.076,3.076,299.110,282.197,279.838
0.017,4.625,3.111,3.111,299.157,282.167,279.989
0.018,4.749,3.148,3.148,299.217,282.144,280.094
0.020,4.848,3.190,3.190,299.289,282.128,280.160
0.021,4.939,3.241,3.241,299.372,282.114,280.196
0.023,5.033,3.301,3.301,299.465,282.102,280.208
0.024,5.135,3.367,3.367,299.565,282.088,280.205
0.025,5.246,3.437,3.437,299.673,282.070,280.192
0.027,5.363,3.509,3.509,299.788,282.046,280.178
0.028,5.487,3.580,3.580,299.907,282.014,280.171
0.030,5.617,3.648,3.648,300.030,281.970,280.176
0.031,5.757,3.710,3.710,300.155,281.915,280.200
0.032,5.904,3.766,3.766,300.281,281.849,280.240
0.034,6.059,3.815,3.815,300.407,281.775,280.293
0.035,6.218,3.859,3.859,300.529,281.696,280.356
0.037,6.378,3.898,3.898,300.647,281.613,280.426
0.038,6.537,3.932,3.932,300.759,281.529,280.501
0.040,6.689,3.961,3.961,300.863,281.446,280.575
0.041,6.832,3.987,3.987,300.957,281.366,280.648
0.042,6.962,4.009,4.009,301.039,281.292,280.716
0.044,7.075,4.028,4.028,301.108,281.226,280.776
0.045,7.168,4.045,4.045,301.163,281.170,280.825
0.047,7.240,4.059,4.059,301.203,281.123,280.863
0.048,7.295,4.071,4.071,301.233,281.087,280.892
0.049,7.334,4.081,4.081,301.252,281.060,280.913
