"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.386,2.386,312.259,332.887,325.155
0.001,0.139,2.426,2.426,312.236,332.849,325.024
0.003,0.277,2.467,2.467,312.212,332.811,324.893
0.004,0.415,2.509,2.509,312.187,332.774,324.762
0.006,0.553,2.553,2.553,312.162,332.738,324.631
0.007,0.691,2.600,2.600,312.137,332.702,324.500
0.008,0.829,2.650,2.650,312.111,332.668,324.370
0.010,0.966,2.705,2.705,312.084,332.636,324.239
0.011,1.102,2.764,2.764,312.056,332.605,324.109
0.013,1.239,2.827,2.827,312.026,332.576,323.979
0.014,1.374,2.894,2.894,311.996,332.549,323.850
0.016,1.510,2.962,2.962,311.964,332.525,323.720
0.017,1.645,3.032,3.032,311.930,332.504,323.592
0.018,1.779,3.101,3.101,311.894,332.485,323.463
0.020,1.913,3.170,3.170,311.856,332.470,323.335
0.021,2.047,3.236,3.236,311.817,332.459,323.208
0.023,2.178,3.299,3.299,311.777,332.451,323.084
0.024,2.307,3.360,3.360,311.735,332.449,322.962
0.025,2.433,3.416,3.416,311.692,332.451,322.844
0.027,2.555,3.467,3.467,311.649,332.458,322.730
0.028,2.672,3.513,3.513,311.606,332.471,322.621
0.030,2.785,3.554,3.554,311.563,332.490,322.519
0.031,2.893,3.587,3.587,311.520,332.516,322.423
0.033,2.995,3.615,3.615,311.478,332.549,322.336
0.034,3.093,3.636,3.636,311.437,332.589,322.257
0.035,3.186,3.653,3.653,311.397,332.637,322.187
0.037,3.276,3.665,3.665,311.359,332.693,322.127
0.038,3.365,3.672,3.672,311.323,332.758,322.079
0.040,3.455,3.676,3.676,311.288,332.831,322.040
0.041,3.548,3.678,3.678,311.253,332.912,322.011
0.042,3.647,3.677,3.677,311.217,333.001,321.989
0.044,3.751,3.675,3.675,311.179,333.097,321.973
0.045,3.863,3.673,3.673,311.137,333.200,321.962
0.047,3.982,3.671,3.671,311.090,333.309,321.954
0.048,4.109,3.672,3.672,311.038,333.425,321.950
0.050,4.244,3.676,3.676,310.979,333.546,321.946
0.051,4.387,3.683,3.683,310.913,333.673,321.942
0.052,4.539,3.695,3.695,310.837,333.804,321.936
0.054,4.700,3.712,3.712,310.751,333.940,321.927
0.055,4.871,3.733,3.733,310.654,334.081,321.915
0.057,5.053,3.758,3.758,310.545,334.225,321.897
0.058,5.244,3.788,3.788,310.425,334.372,321.874
0.059,5.443,3.822,3.822,310.295,334.519,321.847
0.061,5.646,3.860,3.860,310.158,334.667,321.816
0.062,5.852,3.902,3.902,310.016,334.812,321.783
0.064,6.058,3.947,3.947,309.870,334.954,321.749
0.065,6.262,3.994,3.994,309.724,335.091,321.715
0.066,6.460,4.043,4.043,309.578,335.221,321.681
0.068,6.652,4.093,4.093,309.434,335.344,321.648
0.069,6.833,4.143,4.143,309.296,335.457,321.618
0.071,7.001,4.191,4.191,309.164,335.559,321.592
0.072,7.155,4.238,4.238,309.041,335.648,321.569
0.074,7.291,4.283,4.283,308.929,335.723,321.552
0.075,7.408,4.326,4.326,308.829,335.783,321.541
0.076,7.506,4.368,4.368,308.742,335.828,321.536
0.078,7.588,4.407,4.407,308.668,335.862,321.535
0.079,7.656,4.444,4.444,308.604,335.887,321.538
