"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,3.490,3.490,217.100,186.283,179.118
0.001,0.090,3.537,3.537,217.181,186.255,179.146
0.003,0.179,3.583,3.583,217.261,186.228,179.175
0.004,0.267,3.628,3.628,217.339,186.201,179.204
0.005,0.352,3.672,3.672,217.415,186.176,179.233
0.006,0.434,3.712,3.712,217.489,186.153,179.261
0.008,0.512,3.750,3.750,217.558,186.132,179.289
0.009,0.586,3.784,3.784,217.624,186.114,179.317
0.010,0.654,3.813,3.813,217.685,186.098,179.344
0.011,0.716,3.838,3.838,217.740,186.087,179.371
0.013,0.772,3.858,3.858,217.788,186.079,179.397
0.014,0.820,3.874,3.874,217.830,186.076,179.422
0.015,0.863,3.886,3.886,217.865,186.076,179.446
0.016,0.899,3.895,3.895,217.894,186.080,179.468
0.018,0.931,3.900,3.900,217.918,186.087,179.487
0.019,0.958,3.903,3.903,217.938,186.095,179.503
0.020,0.980,3.903,3.903,217.955,186.104,179.513
0.021,0.998,3.901,3.901,217.970,186.113,179.519
0.023,1.014,3.898,3.898,217.984,186.122,179.518
0.024,1.031,3.894,3.894,217.997,186.128,179.510
0.025,1.052,3.888,3.888,218.011,186.133,179.494
0.026,1.081,3.882,3.882,218.026,186.134,179.470
0.028,1.117,3.875,3.875,218.043,186.132,179.438
0.029,1.157,3.869,3.869,218.061,186.128,179.403
0.030,1.195,3.862,3.862,218.078,186.122,179.369
0.031,1.227,3.857,3.857,218.093,186.117,179.342
0.033,1.248,3.852,3.852,218.105,186.113,179.325
0.034,1.257,3.849,3.849,218.114,186.111,179.324
0.035,1.276,3.847,3.847,218.118,186.113,179.343
0.036,1.321,3.846,3.846,218.115,186.119,179.387
0.038,1.396,3.847,3.847,218.105,186.132,179.461
0.039,1.507,3.850,3.850,218.086,186.151,179.568
0.040,1.656,3.855,3.855,218.059,186.177,179.713
0.041,1.837,3.863,3.863,218.029,186.209,179.889
0.043,2.041,3.872,3.872,218.003,186.243,180.088
0.044,2.260,3.882,3.882,217.987,186.277,180.304
0.045,2.486,3.894,3.894,217.989,186.309,180.527
0.046,2.714,3.905,3.905,218.014,186.334,180.752
0.048,2.939,3.915,3.915,218.071,186.352,180.970
0.049,3.164,3.925,3.925,218.165,186.358,181.174
0.050,3.392,3.932,3.932,218.303,186.350,181.355
0.052,3.635,3.938,3.938,218.492,186.326,181.507
0.053,3.910,3.941,3.941,218.737,186.282,181.622
0.054,4.225,3.943,3.943,219.036,186.221,181.700
0.055,4.576,3.945,3.945,219.375,186.144,181.748
0.057,4.955,3.948,3.948,219.743,186.056,181.771
0.058,5.353,3.952,3.952,220.129,185.959,181.775
0.059,5.758,3.959,3.959,220.521,185.857,181.766
0.060,6.158,3.968,3.968,220.907,185.753,181.748
