"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.753,2.753,168.328,151.267,177.450
0.001,0.057,2.789,2.789,168.280,151.283,177.424
0.002,0.113,2.825,2.825,168.233,151.298,177.397
0.004,0.171,2.861,2.861,168.185,151.312,177.369
0.005,0.229,2.898,2.898,168.137,151.325,177.339
0.006,0.288,2.936,2.936,168.088,151.336,177.307
0.007,0.348,2.976,2.976,168.039,151.346,177.273
0.009,0.411,3.017,3.017,167.989,151.353,177.235
0.010,0.476,3.059,3.059,167.939,151.358,177.194
0.011,0.545,3.103,3.103,167.888,151.360,177.149
0.012,0.617,3.149,3.149,167.836,151.359,177.099
0.014,0.694,3.196,3.196,167.783,151.354,177.043
0.015,0.776,3.244,3.244,167.729,151.345,176.982
0.016,0.863,3.291,3.291,167.675,151.332,176.916
0.017,0.953,3.339,3.339,167.620,151.316,176.845
0.019,1.045,3.385,3.385,167.567,151.298,176.773
0.020,1.136,3.430,3.430,167.516,151.278,176.700
0.021,1.226,3.474,3.474,167.467,151.257,176.627
0.022,1.312,3.515,3.515,167.423,151.235,176.557
0.024,1.392,3.552,3.552,167.383,151.215,176.491
0.025,1.464,3.586,3.586,167.349,151.195,176.430
0.026,1.527,3.615,3.615,167.321,151.178,176.377
0.027,1.578,3.639,3.639,167.301,151.163,176.332
0.029,1.617,3.656,3.656,167.289,151.152,176.297
0.030,1.642,3.667,3.667,167.286,151.145,176.273
0.031,1.657,3.670,3.670,167.290,151.141,176.259
0.032,1.668,3.666,3.666,167.298,151.140,176.252
0.033,1.680,3.658,3.658,167.310,151.142,176.252
0.035,1.693,3.647,3.647,167.322,151.146,176.256
0.036,1.705,3.637,3.637,167.332,151.150,176.262
0.037,1.715,3.629,3.629,167.338,151.155,176.269
0.038,1.722,3.625,3.625,167.337,151.160,176.273
0.040,1.732,3.628,3.628,167.328,151.164,176.274
0.041,1.753,3.640,3.640,167.308,151.167,176.269
0.042,1.788,3.662,3.662,167.275,151.167,176.257
0.043,1.841,3.691,3.691,167.227,151.165,176.236
0.045,1.912,3.726,3.726,167.163,151.160,176.205
0.046,1.998,3.763,3.763,167.087,151.152,176.165
0.047,2.096,3.802,3.802,167.001,151.143,176.120
0.048,2.203,3.839,3.839,166.907,151.132,176.069
0.050,2.314,3.873,3.873,166.810,151.120,176.017
0.051,2.428,3.901,3.901,166.710,151.107,175.963
0.052,2.540,3.923,3.923,166.613,151.095,175.909
0.053,2.647,3.938,3.938,166.519,151.083,175.859
0.055,2.746,3.949,3.949,166.432,151.072,175.812
0.056,2.833,3.956,3.956,166.355,151.062,175.772
0.057,2.906,3.960,3.960,166.291,151.055,175.739
0.058,2.961,3.962,3.962,166.241,151.049,175.716
