"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,3.504,3.504,193.362,224.683,207.633
0.001,0.075,3.501,3.501,193.317,224.644,207.679
0.003,0.149,3.498,3.498,193.273,224.605,207.724
0.004,0.219,3.496,3.496,193.229,224.569,207.766
0.005,0.286,3.495,3.495,193.186,224.535,207.804
0.007,0.348,3.496,3.496,193.144,224.505,207.838
0.008,0.403,3.499,3.499,193.103,224.479,207.865
0.009,0.452,3.505,3.505,193.064,224.459,207.885
0.011,0.493,3.513,3.513,193.027,224.444,207.896
0.012,0.528,3.526,3.526,192.993,224.436,207.897
0.013,0.562,3.542,3.542,192.961,224.437,207.888
0.014,0.600,3.562,3.562,192.931,224.445,207.866
0.016,0.648,3.588,3.588,192.905,224.464,207.830
0.017,0.709,3.619,3.619,192.882,224.492,207.781
0.018,0.784,3.656,3.656,192.862,224.529,207.718
0.020,0.871,3.700,3.700,192.845,224.573,207.645
0.021,0.968,3.751,3.751,192.831,224.622,207.562
0.022,1.073,3.808,3.808,192.820,224.675,207.473
0.024,1.184,3.870,3.870,192.811,224.730,207.377
0.025,1.298,3.933,3.933,192.805,224.785,207.277
0.026,1.413,3.998,3.998,192.800,224.840,207.176
0.028,1.528,4.060,4.060,192.798,224.891,207.074
0.029,1.639,4.120,4.120,192.797,224.938,206.973
0.030,1.745,4.174,4.174,192.798,224.980,206.875
0.032,1.844,4.222,4.222,192.800,225.013,206.782
0.033,1.934,4.262,4.262,192.804,225.038,206.696
0.034,2.017,4.297,4.297,192.808,225.056,206.615
0.035,2.092,4.326,4.326,192.813,225.068,206.541
0.037,2.160,4.349,4.349,192.817,225.076,206.473
0.038,2.222,4.368,4.368,192.820,225.079,206.411
0.039,2.278,4.382,4.382,192.821,225.081,206.356
0.041,2.327,4.393,4.393,192.821,225.082,206.306
0.042,2.370,4.400,4.400,192.817,225.083,206.263
0.043,2.408,4.405,4.405,192.811,225.086,206.227
0.045,2.441,4.410,4.410,192.801,225.093,206.196
0.046,2.471,4.414,4.414,192.787,225.103,206.172
0.047,2.501,4.420,4.420,192.768,225.119,206.154
0.049,2.536,4.429,4.429,192.744,225.141,206.142
0.050,2.575,4.441,4.441,192.716,225.168,206.135
0.051,2.618,4.457,4.457,192.686,225.199,206.133
0.053,2.664,4.478,4.478,192.655,225.232,206.135
0.054,2.711,4.503,4.503,192.622,225.266,206.141
0.055,2.759,4.528,4.528,192.591,225.301,206.149
0.057,2.804,4.554,4.554,192.561,225.334,206.159
0.058,2.846,4.579,4.579,192.535,225.364,206.171
0.059,2.884,4.601,4.601,192.512,225.391,206.183
0.060,2.915,4.619,4.619,192.494,225.413,206.196
0.062,2.938,4.632,4.632,192.483,225.429,206.207
0.063,2.952,4.641,4.641,192.478,225.438,206.218
0.064,2.961,4.645,4.645,192.481,225.440,206.227
0.066,2.972,4.645,4.645,192.489,225.437,206.233
0.067,2.985,4.643,4.643,192.501,225.431,206.238
0.068,3.000,4.640,4.640,192.514,225.426,206.240
0.070,3.014,4.635,4.635,192.527,225.422,206.239
0.071,3.026,4.630,4.630,192.539,225.424,206.234
0.072,3.040,4.625,4.625,192.546,225.432,206.227
0.074,3.061,4.623,4.623,192.549,225.449,206.215
0.075,3.094,4.623,4.623,192.544,225.478,206.200
0.076,3.143,4.628,4.628,192.530,225.521,206.180
0.078,3.211,4.639,4.639,192.506,225.580,206.156
0.079,3.302,4.656,4.656,192.469,225.657,206.127
0.080,3.414,4.681,4.681,192.420,225.752,206.093
0.081,3.543,4.715,4.715,192.361,225.862,206.056
0.083,3.687,4.758,4.758,192.295,225.983,206.016
0.084,3.841,4.807,4.807,192.224,226.112,205.974
0.085,4.000,4.859,4.859,192.150,226.247,205.931
0.087,4.161,4.911,4.911,192.075,226.383,205.887
0.088,4.320,4.961,4.961,192.003,226.518,205.845
0.089,4.473,5.007,5.007,191.934,226.648,205.803
0.091,4.616,5.046,5.046,191.872,226.771,205.764
0.092,4.745,5.074,5.074,191.819,226.883,205.728
0.093,4.856,5.094,5.094,191.777,226.981,205.696
0.095,4.946,5.106,5.106,191.748,227.062,205.669
0.096,5.016,5.112,5.112,191.733,227.126,205.646
0.097,5.070,5.113,5.113,191.729,227.175,205.626
0.099,5.111,5.111,5.111,191.735,227.212,205.608
0.100,5.146,5.107,5.107,191.750,227.239,205.592
0.101,5.179,5.104,5.104,191.772,227.258,205.576
0.102,5.214,5.102,5.102,191.799,227.272,205.559
0.104,5.253,5.100,5.100,191.831,227.283,205.540
0.105,5.294,5.099,5.099,191.865,227.292,205.517
0.106,5.339,5.098,5.098,191.899,227.303,205.491
0.108,5.388,5.097,5.097,191.933,227.317,205.459
0.109,5.441,5.095,5.095,191.965,227.337,205.421
0.110,5.501,5.092,5.092,191.993,227.365,205.376
0.112,5.568,5.088,5.088,192.018,227.400,205.324
0.113,5.641,5.081,5.081,192.039,227.440,205.267
0.114,5.719,5.072,5.072,192.057,227.484,205.206
0.116,5.800,5.061,5.061,192.073,227.531,205.142
0.117,5.881,5.046,5.046,192.087,227.577,205.077
0.118,5.962,5.028,5.028,192.100,227.623,205.011
0.120,6.040,5.005,5.005,192.113,227.665,204.946
0.121,6.114,4.979,4.979,192.125,227.703,204.884
0.122,6.182,4.947,4.947,192.137,227.734,204.826
0.124,6.241,4.913,4.913,192.149,227.757,204.772
0.125,6.292,4.878,4.878,192.163,227.770,204.725
0.126,6.335,4.845,4.845,192.179,227.772,204.685
0.127,6.373,4.817,4.817,192.195,227.764,204.652
0.129,6.406,4.795,4.795,192.211,227.751,204.626
0.130,6.435,4.783,4.783,192.226,227.734,204.606
0.131,6.460,4.782,4.782,192.239,227.718,204.593
0.133,6.478,4.794,4.794,192.248,227.705,204.585
0.134,6.488,4.816,4.816,192.253,227.697,204.582
0.135,6.491,4.843,4.843,192.253,227.699,204.584
0.137,6.507,4.871,4.871,192.247,227.713,204.590
0.138,6.541,4.896,4.896,192.233,227.743,204.600
0.139,6.596,4.915,4.915,192.211,227.791,204.614
0.141,6.673,4.922,4.922,192.180,227.860,204.630
0.142,6.777,4.913,4.913,192.139,227.954,204.649
0.143,6.905,4.888,4.888,192.089,228.069,204.670
0.145,7.055,4.850,4.850,192.032,228.206,204.693
0.146,7.224,4.802,4.802,191.968,228.361,204.719
0.147,7.411,4.748,4.748,191.900,228.533,204.746
0.148,7.613,4.691,4.691,191.829,228.719,204.774
0.150,7.827,4.635,4.635,191.755,228.918,204.804
0.151,8.051,4.583,4.583,191.682,229.128,204.835
0.152,8.284,4.538,4.538,191.609,229.346,204.867
